Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,North Dakota,38,55-64 years,55-64,Male,M,82,26261,312.3
,1999,1999,Ohio,39,35-44 years,35-44,Male,M,276,895854,30.8
,1999,1999,Ohio,39,45-54 years,45-54,Male,M,879,747403,117.6
,1999,1999,Ohio,39,55-64 years,55-64,Male,M,1548,477384,324.3
,1999,1999,Oklahoma,40,35-44 years,35-44,Male,M,98,262484,37.3
,1999,1999,Oklahoma,40,45-54 years,45-54,Male,M,316,217390,145.4
,1999,1999,Oklahoma,40,55-64 years,55-64,Male,M,620,149688,414.2
,1999,1999,Oregon,41,35-44 years,35-44,Male,M,58,266688,21.7
,1999,1999,Oregon,41,45-54 years,45-54,Male,M,196,246155,79.6
,1999,1999,Oregon,41,55-64 years,55-64,Male,M,357,145281,245.7
,1999,1999,Pennsylvania,42,35-44 years,35-44,Male,M,269,966081,27.8
,1999,1999,Pennsylvania,42,45-54 years,45-54,Male,M,877,814584,107.7
,1999,1999,Pennsylvania,42,55-64 years,55-64,Male,M,1633,532986,306.4
,1999,1999,Rhode Island,44,35-44 years,35-44,Male,M,27,83123,32.5
,1999,1999,Rhode Island,44,45-54 years,45-54,Male,M,72,67028,107.4
,1999,1999,Rhode Island,44,55-64 years,55-64,Male,M,120,41269,290.8
,1999,1999,South Carolina,45,35-44 years,35-44,Male,M,116,304550,38.1
,1999,1999,South Carolina,45,45-54 years,45-54,Male,M,374,258099,144.9
,1999,1999,South Carolina,45,55-64 years,55-64,Male,M,649,172669,375.9
,1999,1999,South Dakota,46,35-44 years,35-44,Male,M,12,58318,
,1999,1999,South Dakota,46,45-54 years,45-54,Male,M,54,47869,112.8
,1999,1999,South Dakota,46,55-64 years,55-64,Male,M,81,30162,268.5
,1999,1999,Tennessee,47,35-44 years,35-44,Male,M,205,441235,46.5
,1999,1999,Tennessee,47,45-54 years,45-54,Male,M,564,374763,150.5
,1999,1999,Tennessee,47,55-64 years,55-64,Male,M,962,250764,383.6
,1999,1999,Texas,48,35-44 years,35-44,Male,M,450,1656972,27.2
,1999,1999,Texas,48,45-54 years,45-54,Male,M,1357,1244195,109.1
,1999,1999,Texas,48,55-64 years,55-64,Male,M,2380,750046,317.3
,1999,1999,Utah,49,35-44 years,35-44,Male,M,25,151324,16.5
,1999,1999,Utah,49,45-54 years,45-54,Male,M,74,114783,64.5
,1999,1999,Utah,49,55-64 years,55-64,Male,M,105,68062,154.3
,1999,1999,Vermont,50,35-44 years,35-44,Male,M,15,50274,
,1999,1999,Vermont,50,45-54 years,45-54,Male,M,48,45168,106.3
,1999,1999,Vermont,50,55-64 years,55-64,Male,M,67,27251,245.9
,1999,1999,Virginia,51,35-44 years,35-44,Male,M,170,588717,28.9
,1999,1999,Virginia,51,45-54 years,45-54,Male,M,435,474690,91.6
,1999,1999,Virginia,51,55-64 years,55-64,Male,M,787,297502,264.5
,1999,1999,Washington,53,35-44 years,35-44,Male,M,91,493491,18.4
,1999,1999,Washington,53,45-54 years,45-54,Male,M,318,409640,77.6
,1999,1999,Washington,53,55-64 years,55-64,Male,M,568,239401,237.3
,1999,1999,West Virginia,54,35-44 years,35-44,Male,M,59,135276,43.6
,1999,1999,West Virginia,54,45-54 years,45-54,Male,M,204,131608,155.0
