Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,2000,2000,South Dakota,46,55-64 years,55-64,102,62349,163.6
,2000,2000,Tennessee,47,55-64 years,55-64,1427,533251,267.6
,2000,2000,Texas,48,55-64 years,55-64,3490,1598190,218.4
,2000,2000,Utah,49,55-64 years,55-64,169,142508,118.6
,2000,2000,Vermont,50,55-64 years,55-64,82,56920,144.1
,2000,2000,Virginia,51,55-64 years,55-64,1139,631611,180.3
,2000,2000,Washington,53,55-64 years,55-64,777,496580,156.5
,2000,2000,West Virginia,54,55-64 years,55-64,477,184816,258.1
,2000,2000,Wisconsin,55,55-64 years,55-64,766,457741,167.3
,2000,2000,Wyoming,56,55-64 years,55-64,76,44590,170.4
,2001,2001,Alabama,01,55-64 years,55-64,834,425024,196.2
,2001,2001,Alaska,02,55-64 years,55-64,58,47643,121.7
,2001,2001,Arizona,04,55-64 years,55-64,800,464349,172.3
,2001,2001,Arkansas,05,55-64 years,55-64,633,262728,240.9
,2001,2001,California,06,55-64 years,55-64,4379,2728417,160.5
,2001,2001,Colorado,08,55-64 years,55-64,401,357994,112.0
,2001,2001,Connecticut,09,55-64 years,55-64,451,319614,141.1
,2001,2001,Delaware,10,55-64 years,55-64,152,74242,204.7
,2001,2001,District of Columbia,11,55-64 years,55-64,135,51090,264.2
,2001,2001,Florida,12,55-64 years,55-64,3014,1628075,185.1
,2001,2001,Georgia,13,55-64 years,55-64,1310,692052,189.3
,2001,2001,Hawaii,15,55-64 years,55-64,144,112826,127.6
,2001,2001,Idaho,16,55-64 years,55-64,159,112692,141.1
,2001,2001,Illinois,17,55-64 years,55-64,2098,1063657,197.2
,2001,2001,Indiana,18,55-64 years,55-64,1093,542610,201.4
,2001,2001,Iowa,19,55-64 years,55-64,453,262251,172.7
,2001,2001,Kansas,20,55-64 years,55-64,351,225990,155.3
,2001,2001,Kentucky,21,55-64 years,55-64,905,382298,236.7
,2001,2001,Louisiana,22,55-64 years,55-64,933,388603,240.1
,2001,2001,Maine,23,55-64 years,55-64,200,127562,156.8
,2001,2001,Maryland,24,55-64 years,55-64,880,488309,180.2
,2001,2001,Massachusetts,25,55-64 years,55-64,784,564678,138.8
,2001,2001,Michigan,26,55-64 years,55-64,1910,885690,215.7
,2001,2001,Minnesota,27,55-64 years,55-64,500,419324,119.2
,2001,2001,Mississippi,28,55-64 years,55-64,623,251411,247.8
,2001,2001,Missouri,29,55-64 years,55-64,1087,520334,208.9
,2001,2001,Montana,30,55-64 years,55-64,143,88135,162.3
,2001,2001,Nebraska,31,55-64 years,55-64,190,144935,131.1
,2001,2001,Nevada,32,55-64 years,55-64,448,203982,219.6
,2001,2001,New Hampshire,33,55-64 years,55-64,179,114338,156.6
,2001,2001,New Jersey,34,55-64 years,55-64,1228,777179,158.0
,2001,2001,New Mexico,35,55-64 years,55-64,255,164474,155.0
,2001,2001,New York,36,55-64 years,55-64,3408,1731539,196.8
,2001,2001,North Carolina,37,55-64 years,55-64,1478,752652,196.4
,2001,2001,North Dakota,38,55-64 years,55-64,98,54454,180.0
,2001,2001,Ohio,39,55-64 years,55-64,2159,1028082,210.0
,2001,2001,Oklahoma,40,55-64 years,55-64,821,323194,254.0
,2001,2001,Oregon,41,55-64 years,55-64,441,318978,138.3
,2001,2001,Pennsylvania,42,55-64 years,55-64,2134,1152727,185.1
,2001,2001,Rhode Island,44,55-64 years,55-64,178,92134,193.2
,2001,2001,South Carolina,45,55-64 years,55-64,800,387682,206.4
,2001,2001,South Dakota,46,55-64 years,55-64,115,63986,179.7
,2001,2001,Tennessee,47,55-64 years,55-64,1352,548525,246.5
,2001,2001,Texas,48,55-64 years,55-64,3430,1665762,205.9
,2001,2001,Utah,49,55-64 years,55-64,173,148851,116.2
,2001,2001,Vermont,50,55-64 years,55-64,70,59255,118.1
,2001,2001,Virginia,51,55-64 years,55-64,1109,658030,168.5
,2001,2001,Washington,53,55-64 years,55-64,782,521330,150.0
,2001,2001,West Virginia,54,55-64 years,55-64,453,188133,240.8
,2001,2001,Wisconsin,55,55-64 years,55-64,770,471454,163.3
,2001,2001,Wyoming,56,55-64 years,55-64,73,46021,158.6
,2002,2002,Alabama,01,55-64 years,55-64,850,447523,189.9
