Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,1999,1999,Alabama,01,25-34 years,25-34,893,608323,146.8
,1999,1999,Alabama,01,35-44 years,35-44,1887,686932,274.7
,1999,1999,Alabama,01,45-54 years,45-54,3157,585651,539.1
,1999,1999,Alabama,01,55-64 years,55-64,5041,410542,1227.9
,1999,1999,Alaska,02,25-34 years,25-34,138,90016,153.3
,1999,1999,Alaska,02,35-44 years,35-44,228,116881,195.1
,1999,1999,Alaska,02,45-54 years,45-54,310,92120,336.5
,1999,1999,Alaska,02,55-64 years,55-64,393,43341,906.8
,1999,1999,Arizona,04,25-34 years,25-34,857,738538,116.0
,1999,1999,Arizona,04,35-44 years,35-44,1682,761436,220.9
,1999,1999,Arizona,04,45-54 years,45-54,2660,604767,439.8
,1999,1999,Arizona,04,55-64 years,55-64,4121,427747,963.4
,1999,1999,Arkansas,05,25-34 years,25-34,471,351295,134.1
,1999,1999,Arkansas,05,35-44 years,35-44,968,394882,245.1
,1999,1999,Arkansas,05,45-54 years,45-54,1734,340043,509.9
,1999,1999,Arkansas,05,55-64 years,55-64,2931,251017,1167.6
,1999,1999,California,06,25-34 years,25-34,4357,5278543,82.5
,1999,1999,California,06,35-44 years,35-44,9227,5462186,168.9
,1999,1999,California,06,45-54 years,45-54,16051,4189310,383.1
,1999,1999,California,06,55-64 years,55-64,22661,2543047,891.1
,1999,1999,Colorado,08,25-34 years,25-34,618,654857,94.4
,1999,1999,Colorado,08,35-44 years,35-44,1270,738963,171.9
,1999,1999,Colorado,08,45-54 years,45-54,1900,593059,320.4
,1999,1999,Colorado,08,55-64 years,55-64,2662,329046,809.0
,1999,1999,Connecticut,09,25-34 years,25-34,391,462436,84.6
,1999,1999,Connecticut,09,35-44 years,35-44,911,579519,157.2
,1999,1999,Connecticut,09,45-54 years,45-54,1642,469320,349.9
,1999,1999,Connecticut,09,55-64 years,55-64,2552,302459,843.8
,1999,1999,Delaware,10,25-34 years,25-34,108,111049,97.3
,1999,1999,Delaware,10,35-44 years,35-44,299,126830,235.7
,1999,1999,Delaware,10,45-54 years,45-54,426,100828,422.5
,1999,1999,Delaware,10,55-64 years,55-64,674,69886,964.4
,1999,1999,District of Columbia,11,25-34 years,25-34,177,106678,165.9
,1999,1999,District of Columbia,11,35-44 years,35-44,387,88156,439.0
,1999,1999,District of Columbia,11,45-54 years,45-54,646,73239,882.0
,1999,1999,District of Columbia,11,55-64 years,55-64,717,48709,1472.0
,1999,1999,Florida,12,25-34 years,25-34,2543,2092705,121.5
,1999,1999,Florida,12,35-44 years,35-44,5702,2456475,232.1
,1999,1999,Florida,12,45-54 years,45-54,9178,1991942,460.8
,1999,1999,Florida,12,55-64 years,55-64,14894,1509450,986.7
,1999,1999,Georgia,13,25-34 years,25-34,1510,1294350,116.7
,1999,1999,Georgia,13,35-44 years,35-44,3054,1335448,228.7
,1999,1999,Georgia,13,45-54 years,45-54,5107,1046564,488.0
,1999,1999,Georgia,13,55-64 years,55-64,7609,642834,1183.7
,1999,1999,Hawaii,15,25-34 years,25-34,157,174184,90.1
,1999,1999,Hawaii,15,35-44 years,35-44,316,193008,163.7
,1999,1999,Hawaii,15,45-54 years,45-54,578,167257,345.6
,1999,1999,Hawaii,15,55-64 years,55-64,854,103642,824.0
,1999,1999,Idaho,16,25-34 years,25-34,157,164835,95.2
,1999,1999,Idaho,16,35-44 years,35-44,308,193496,159.2
,1999,1999,Idaho,16,45-54 years,45-54,543,164613,329.9
,1999,1999,Idaho,16,55-64 years,55-64,873,104652,834.2
,1999,1999,Illinois,17,25-34 years,25-34,1901,1825711,104.1
,1999,1999,Illinois,17,35-44 years,35-44,3914,1987201,197.0
,1999,1999,Illinois,17,45-54 years,45-54,6687,1584101,422.1
,1999,1999,Illinois,17,55-64 years,55-64,10728,1029288,1042.3
,1999,1999,Indiana,18,25-34 years,25-34,905,836943,108.1
,1999,1999,Indiana,18,35-44 years,35-44,1774,962267,184.4
,1999,1999,Indiana,18,45-54 years,45-54,3386,795740,425.5
,1999,1999,Indiana,18,55-64 years,55-64,5546,522962,1060.5
,1999,1999,Iowa,19,25-34 years,25-34,315,366236,86.0
,1999,1999,Iowa,19,35-44 years,35-44,660,448486,147.2
,1999,1999,Iowa,19,45-54 years,45-54,1213,382540,317.1
,1999,1999,Iowa,19,55-64 years,55-64,2231,255776,872.2
,1999,1999,Kansas,20,25-34 years,25-34,341,351887,96.9
,1999,1999,Kansas,20,35-44 years,35-44,708,423950,167.0
,1999,1999,Kansas,20,45-54 years,45-54,1294,344157,376.0
,1999,1999,Kansas,20,55-64 years,55-64,2179,217720,1000.8
,1999,1999,Kentucky,21,25-34 years,25-34,655,570025,114.9
,1999,1999,Kentucky,21,35-44 years,35-44,1378,641288,214.9
,1999,1999,Kentucky,21,45-54 years,45-54,2556,541439,472.1
,1999,1999,Kentucky,21,55-64 years,55-64,4497,365988,1228.7
,1999,1999,Louisiana,22,25-34 years,25-34,957,608582,157.3
,1999,1999,Louisiana,22,35-44 years,35-44,1922,696307,276.0
,1999,1999,Louisiana,22,45-54 years,45-54,3161,570443,554.1
,1999,1999,Louisiana,22,55-64 years,55-64,4677,373236,1253.1
,1999,1999,Maine,23,25-34 years,25-34,142,159336,89.1
,1999,1999,Maine,23,35-44 years,35-44,309,213530,144.7
,1999,1999,Maine,23,45-54 years,45-54,633,186351,339.7
,1999,1999,Maine,23,55-64 years,55-64,1117,119812,932.3
,1999,1999,Maryland,24,25-34 years,25-34,929,763937,121.6
,1999,1999,Maryland,24,35-44 years,35-44,2103,911449,230.7
,1999,1999,Maryland,24,45-54 years,45-54,3179,734690,432.7
,1999,1999,Maryland,24,55-64 years,55-64,4529,458782,987.2
,1999,1999,Massachusetts,25,25-34 years,25-34,704,954752,73.7
,1999,1999,Massachusetts,25,35-44 years,35-44,1698,1057230,160.6
,1999,1999,Massachusetts,25,45-54 years,45-54,2874,849890,338.2
,1999,1999,Massachusetts,25,55-64 years,55-64,4565,534483,854.1
,1999,1999,Michigan,26,25-34 years,25-34,1491,1377899,108.2
,1999,1999,Michigan,26,35-44 years,35-44,3320,1605358,206.8
,1999,1999,Michigan,26,45-54 years,45-54,5904,1330187,443.8
,1999,1999,Michigan,26,55-64 years,55-64,8839,849844,1040.1
,1999,1999,Minnesota,27,25-34 years,25-34,492,675909,72.8
,1999,1999,Minnesota,27,35-44 years,35-44,1129,823041,137.2
,1999,1999,Minnesota,27,45-54 years,45-54,1926,643345,299.4
,1999,1999,Minnesota,27,55-64 years,55-64,3184,395829,804.4
,1999,1999,Mississippi,28,25-34 years,25-34,627,382499,163.9
,1999,1999,Mississippi,28,35-44 years,35-44,1292,424613,304.3
,1999,1999,Mississippi,28,45-54 years,45-54,2057,351029,586.0
,1999,1999,Mississippi,28,55-64 years,55-64,3284,242369,1355.0
,1999,1999,Missouri,29,25-34 years,25-34,864,743819,116.2
,1999,1999,Missouri,29,35-44 years,35-44,1932,886824,217.9
,1999,1999,Missouri,29,45-54 years,45-54,3189,721187,442.2
,1999,1999,Missouri,29,55-64 years,55-64,5431,499269,1087.8
,1999,1999,Montana,30,25-34 years,25-34,107,102563,104.3
,1999,1999,Montana,30,35-44 years,35-44,265,144225,183.7
,1999,1999,Montana,30,45-54 years,45-54,470,131005,358.8
,1999,1999,Montana,30,55-64 years,55-64,757,83236,909.5
,1999,1999,Nebraska,31,25-34 years,25-34,194,223247,86.9
,1999,1999,Nebraska,31,35-44 years,35-44,434,265907,163.2
,1999,1999,Nebraska,31,45-54 years,45-54,708,219376,322.7
,1999,1999,Nebraska,31,55-64 years,55-64,1298,140276,925.3
,1999,1999,Nevada,32,25-34 years,25-34,338,302724,111.7
,1999,1999,Nevada,32,35-44 years,35-44,731,315154,232.0
,1999,1999,Nevada,32,45-54 years,45-54,1220,256389,475.8
,1999,1999,Nevada,32,55-64 years,55-64,2064,181820,1135.2
,1999,1999,New Hampshire,33,25-34 years,25-34,124,162397,76.4
,1999,1999,New Hampshire,33,35-44 years,35-44,281,220733,127.3
,1999,1999,New Hampshire,33,45-54 years,45-54,560,177026,316.3
,1999,1999,New Hampshire,33,55-64 years,55-64,907,105806,857.2
,1999,1999,New Jersey,34,25-34 years,25-34,1102,1205410,91.4
,1999,1999,New Jersey,34,35-44 years,35-44,2770,1431166,193.5
,1999,1999,New Jersey,34,45-54 years,45-54,4534,1131136,400.8
,1999,1999,New Jersey,34,55-64 years,55-64,6894,741079,930.3
,1999,1999,New Mexico,35,25-34 years,25-34,344,234779,146.5
,1999,1999,New Mexico,35,35-44 years,35-44,685,283621,241.5
,1999,1999,New Mexico,35,45-54 years,45-54,1025,238706,429.4
,1999,1999,New Mexico,35,55-64 years,55-64,1355,155004,874.2
,1999,1999,New York,36,25-34 years,25-34,2526,2804932,90.1
,1999,1999,New York,36,35-44 years,35-44,5717,3069824,186.2
,1999,1999,New York,36,45-54 years,45-54,10345,2495085,414.6
,1999,1999,New York,36,55-64 years,55-64,15952,1665039,958.1
,1999,1999,North Carolina,37,25-34 years,25-34,1318,1218466,108.2
,1999,1999,North Carolina,37,35-44 years,35-44,2803,1279369,219.1
,1999,1999,North Carolina,37,45-54 years,45-54,4931,1055999,467.0
,1999,1999,North Carolina,37,55-64 years,55-64,7768,709827,1094.4
,1999,1999,North Dakota,38,25-34 years,25-34,71,78485,90.5
,1999,1999,North Dakota,38,35-44 years,35-44,150,99861,150.2
,1999,1999,North Dakota,38,45-54 years,45-54,252,82904,304.0
,1999,1999,North Dakota,38,55-64 years,55-64,488,53119,918.7
,1999,1999,Ohio,39,25-34 years,25-34,1476,1539657,95.9
,1999,1999,Ohio,39,35-44 years,35-44,3525,1816873,194.0
,1999,1999,Ohio,39,45-54 years,45-54,6329,1524753,415.1
,1999,1999,Ohio,39,55-64 years,55-64,10615,1002437,1058.9
,1999,1999,Oklahoma,40,25-34 years,25-34,598,452644,132.1
,1999,1999,Oklahoma,40,35-44 years,35-44,1251,527146,237.3
,1999,1999,Oklahoma,40,45-54 years,45-54,2164,442669,488.9
,1999,1999,Oklahoma,40,55-64 years,55-64,3637,311587,1167.3
,1999,1999,Oregon,41,25-34 years,25-34,424,466884,90.8
,1999,1999,Oregon,41,35-44 years,35-44,926,533397,173.6
,1999,1999,Oregon,41,45-54 years,45-54,1849,494990,373.5
,1999,1999,Oregon,41,55-64 years,55-64,2646,295963,894.0
,1999,1999,Pennsylvania,42,25-34 years,25-34,1662,1589669,104.6
,1999,1999,Pennsylvania,42,35-44 years,35-44,3815,1957775,194.9
,1999,1999,Pennsylvania,42,45-54 years,45-54,6877,1659066,414.5
,1999,1999,Pennsylvania,42,55-64 years,55-64,11442,1120735,1020.9
,1999,1999,Rhode Island,44,25-34 years,25-34,104,143663,72.4
,1999,1999,Rhode Island,44,35-44 years,35-44,306,169805,180.2
,1999,1999,Rhode Island,44,45-54 years,45-54,482,137211,351.3
,1999,1999,Rhode Island,44,55-64 years,55-64,790,86875,909.4
,1999,1999,South Carolina,45,25-34 years,25-34,730,564772,129.3
,1999,1999,South Carolina,45,35-44 years,35-44,1645,622283,264.3
,1999,1999,South Carolina,45,45-54 years,45-54,2984,534290,558.5
,1999,1999,South Carolina,45,55-64 years,55-64,4522,363014,1245.7
,1999,1999,South Dakota,46,25-34 years,25-34,99,90922,108.9
,1999,1999,South Dakota,46,35-44 years,35-44,214,115768,184.9
,1999,1999,South Dakota,46,45-54 years,45-54,367,94025,390.3
,1999,1999,South Dakota,46,55-64 years,55-64,559,61483,909.2
,1999,1999,Tennessee,47,25-34 years,25-34,1064,820333,129.7
,1999,1999,Tennessee,47,35-44 years,35-44,2279,899580,253.3
,1999,1999,Tennessee,47,45-54 years,45-54,3846,766932,501.5
,1999,1999,Tennessee,47,55-64 years,55-64,6209,523680,1185.6
,1999,1999,Texas,48,25-34 years,25-34,3123,3141887,99.4
,1999,1999,Texas,48,35-44 years,35-44,6518,3301216,197.4
,1999,1999,Texas,48,45-54 years,45-54,10650,2520859,422.5
,1999,1999,Texas,48,55-64 years,55-64,15931,1556665,1023.4
,1999,1999,Utah,49,25-34 years,25-34,311,321528,96.7
,1999,1999,Utah,49,35-44 years,35-44,556,299254,185.8
,1999,1999,Utah,49,45-54 years,45-54,797,229601,347.1
,1999,1999,Utah,49,55-64 years,55-64,1028,139586,736.5
,1999,1999,Vermont,50,25-34 years,25-34,66,76006,86.8
,1999,1999,Vermont,50,35-44 years,35-44,154,102614,150.1
,1999,1999,Vermont,50,45-54 years,45-54,299,90995,328.6
,1999,1999,Vermont,50,55-64 years,55-64,474,55054,861.0
,1999,1999,Virginia,51,25-34 years,25-34,969,1048435,92.4
,1999,1999,Virginia,51,35-44 years,35-44,2193,1190633,184.2
,1999,1999,Virginia,51,45-54 years,45-54,3736,971938,384.4
