fips,state,year,unemployment_rate
55,Wisconsin,2017,3.3
56,Wyoming,2017,4.3
01,Alabama,2018,3.9
02,Alaska,2018,6.1
04,Arizona,2018,4.8
05,Arkansas,2018,3.6
06,California,2018,4.3
08,Colorado,2018,3.0
09,Connecticut,2018,3.9
10,Delaware,2018,3.7
11,District of Columbia,2018,5.7
12,Florida,2018,3.6
13,Georgia,2018,4.0
15,Hawaii,2018,2.4
16,Idaho,2018,2.9
17,Illinois,2018,4.4
18,Indiana,2018,3.4
19,Iowa,2018,2.6
20,Kansas,2018,3.3
21,Kentucky,2018,4.2
22,Louisiana,2018,4.8
23,Maine,2018,3.2
24,Maryland,2018,3.8
25,Massachusetts,2018,3.5
26,Michigan,2018,4.2
27,Minnesota,2018,3.0
28,Mississippi,2018,4.9
29,Missouri,2018,3.2
30,Montana,2018,3.7
31,Nebraska,2018,2.9
32,Nevada,2018,4.4
33,New Hampshire,2018,2.6
34,New Jersey,2018,4.0
35,New Mexico,2018,4.9
36,New York,2018,4.1
37,North Carolina,2018,4.0
38,North Dakota,2018,2.4
39,Ohio,2018,4.5
40,Oklahoma,2018,3.3
41,Oregon,2018,4.0
42,Pennsylvania,2018,4.4
44,Rhode Island,2018,4.0
45,South Carolina,2018,3.4
46,South Dakota,2018,2.8
47,Tennessee,2018,3.5
48,Texas,2018,3.9
49,Utah,2018,2.9
50,Vermont,2018,2.5
51,Virginia,2018,3.0
53,Washington,2018,4.4
54,West Virginia,2018,5.1
55,Wisconsin,2018,3.0
56,Wyoming,2018,4.1
01,Alabama,2019,3.2
02,Alaska,2019,5.6
04,Arizona,2019,4.8
05,Arkansas,2019,3.5
06,California,2019,4.1
08,Colorado,2019,2.7
09,Connecticut,2019,3.6
10,Delaware,2019,3.6
11,District of Columbia,2019,5.5
12,Florida,2019,3.2
13,Georgia,2019,3.6
15,Hawaii,2019,2.5
16,Idaho,2019,2.9
17,Illinois,2019,4.0
18,Indiana,2019,3.3
19,Iowa,2019,2.7
20,Kansas,2019,3.2
21,Kentucky,2019,4.1
22,Louisiana,2019,4.6
23,Maine,2019,2.9
24,Maryland,2019,3.4
25,Massachusetts,2019,3.0
26,Michigan,2019,4.1
27,Minnesota,2019,3.3
28,Mississippi,2019,5.5
29,Missouri,2019,3.2
30,Montana,2019,3.5
31,Nebraska,2019,3.1
32,Nevada,2019,4.1
33,New Hampshire,2019,2.6
34,New Jersey,2019,3.5
35,New Mexico,2019,5.0
36,New York,2019,3.9
37,North Carolina,2019,3.9
38,North Dakota,2019,2.2
39,Ohio,2019,4.1
40,Oklahoma,2019,3.1
41,Oregon,2019,3.7
42,Pennsylvania,2019,4.3
44,Rhode Island,2019,3.5
45,South Carolina,2019,2.8
46,South Dakota,2019,2.7
47,Tennessee,2019,3.3
48,Texas,2019,3.5
49,Utah,2019,2.5
50,Vermont,2019,2.1
51,Virginia,2019,2.8
53,Washington,2019,4.2
54,West Virginia,2019,4.9
55,Wisconsin,2019,3.2
56,Wyoming,2019,3.7
