fips,state,year,unemployment_rate
21,Kentucky,2003,6.2
22,Louisiana,2003,6.2
23,Maine,2003,5.1
24,Maryland,2003,4.5
25,Massachusetts,2003,5.7
26,Michigan,2003,7.1
27,Minnesota,2003,4.8
28,Mississippi,2003,6.1
29,Missouri,2003,5.7
30,Montana,2003,4.7
31,Nebraska,2003,3.9
32,Nevada,2003,5.2
33,New Hampshire,2003,4.4
34,New Jersey,2003,5.8
35,New Mexico,2003,5.9
36,New York,2003,6.4
37,North Carolina,2003,6.3
38,North Dakota,2003,3.5
39,Ohio,2003,6.2
40,Oklahoma,2003,5.4
41,Oregon,2003,8.0
42,Pennsylvania,2003,5.7
44,Rhode Island,2003,5.5
45,South Carolina,2003,6.7
46,South Dakota,2003,3.5
47,Tennessee,2003,5.5
48,Texas,2003,6.8
49,Utah,2003,5.6
50,Vermont,2003,4.3
51,Virginia,2003,4.1
53,Washington,2003,7.3
54,West Virginia,2003,6.1
55,Wisconsin,2003,5.6
56,Wyoming,2003,4.3
01,Alabama,2004,5.6
02,Alaska,2004,7.4
04,Arizona,2004,5.0
05,Arkansas,2004,5.6
06,California,2004,6.2
08,Colorado,2004,5.6
09,Connecticut,2004,5.0
10,Delaware,2004,4.0
11,District of Columbia,2004,7.5
12,Florida,2004,4.6
13,Georgia,2004,4.8
15,Hawaii,2004,3.3
16,Idaho,2004,4.9
17,Illinois,2004,6.2
18,Indiana,2004,5.4
19,Iowa,2004,4.5
20,Kansas,2004,5.5
21,Kentucky,2004,5.5
22,Louisiana,2004,5.7
23,Maine,2004,4.7
24,Maryland,2004,4.3
25,Massachusetts,2004,5.1
26,Michigan,2004,7.0
27,Minnesota,2004,4.6
28,Mississippi,2004,6.2
29,Missouri,2004,5.9
30,Montana,2004,4.5
31,Nebraska,2004,3.9
32,Nevada,2004,4.4
33,New Hampshire,2004,3.8
34,New Jersey,2004,4.9
35,New Mexico,2004,5.6
36,New York,2004,5.8
37,North Carolina,2004,5.5
38,North Dakota,2004,3.4
39,Ohio,2004,6.2
40,Oklahoma,2004,4.7
41,Oregon,2004,7.4
42,Pennsylvania,2004,5.4
44,Rhode Island,2004,5.3
45,South Carolina,2004,6.9
46,South Dakota,2004,3.6
47,Tennessee,2004,5.3
48,Texas,2004,6.0
49,Utah,2004,5.0
50,Vermont,2004,3.6
51,Virginia,2004,3.7
53,Washington,2004,6.3
54,West Virginia,2004,5.4
55,Wisconsin,2004,5.0
56,Wyoming,2004,3.8
01,Alabama,2005,4.5
02,Alaska,2005,6.9
04,Arizona,2005,4.6
05,Arkansas,2005,5.3
06,California,2005,5.4
08,Colorado,2005,5.1
09,Connecticut,2005,4.9
10,Delaware,2005,4.1
11,District of Columbia,2005,6.5
12,Florida,2005,3.7
13,Georgia,2005,5.3
15,Hawaii,2005,2.8
16,Idaho,2005,4.0
17,Illinois,2005,5.7
18,Indiana,2005,5.4
19,Iowa,2005,4.3
20,Kansas,2005,5.1
21,Kentucky,2005,5.9
22,Louisiana,2005,7.1
23,Maine,2005,4.9
24,Maryland,2005,4.2
25,Massachusetts,2005,4.8
26,Michigan,2005,6.8
27,Minnesota,2005,4.1
28,Mississippi,2005,7.7
29,Missouri,2005,5.4
30,Montana,2005,4.1
31,Nebraska,2005,3.8
32,Nevada,2005,4.2
33,New Hampshire,2005,3.6
34,New Jersey,2005,4.4
35,New Mexico,2005,5.2
36,New York,2005,5.0
37,North Carolina,2005,5.2
38,North Dakota,2005,3.3
39,Ohio,2005,5.9
40,Oklahoma,2005,4.3
41,Oregon,2005,6.2
42,Pennsylvania,2005,5.0
44,Rhode Island,2005,5.1
45,South Carolina,2005,6.8
46,South Dakota,2005,3.5
47,Tennessee,2005,5.5
48,Texas,2005,5.5
49,Utah,2005,4.0
50,Vermont,2005,3.5
51,Virginia,2005,3.5
53,Washington,2005,5.6
54,West Virginia,2005,5.1
55,Wisconsin,2005,4.7
56,Wyoming,2005,3.6
01,Alabama,2006,4.0
02,Alaska,2006,6.6
04,Arizona,2006,4.3
05,Arkansas,2006,5.2
06,California,2006,4.9
08,Colorado,2006,4.2
09,Connecticut,2006,4.4
10,Delaware,2006,3.6
11,District of Columbia,2006,5.8
12,Florida,2006,3.3
13,Georgia,2006,4.7
15,Hawaii,2006,2.5
16,Idaho,2006,3.4
17,Illinois,2006,4.6
18,Indiana,2006,5.0
19,Iowa,2006,3.7
20,Kansas,2006,4.4
21,Kentucky,2006,5.7
22,Louisiana,2006,4.1
23,Maine,2006,4.7
24,Maryland,2006,3.8
25,Massachusetts,2006,4.7
26,Michigan,2006,6.9
27,Minnesota,2006,4.1
28,Mississippi,2006,6.4
29,Missouri,2006,4.9
30,Montana,2006,3.4
31,Nebraska,2006,3.1
32,Nevada,2006,4.1
33,New Hampshire,2006,3.5
