year,state,state_code,deaths,population,crude_rate
1999,Alabama,01,10978,2291448,479.0857134877161
2000,Alabama,01,11065,2304268,480.1958799931258
2001,Alabama,01,11318,2315431,488.8074833583899
2002,Alabama,01,11589,2327237,497.972488405779
2003,Alabama,01,12116,2343487,517.0073484512609
2004,Alabama,01,12266,2365307,518.5796177832307
2005,Alabama,01,12735,2392304,532.3320113162875
2006,Alabama,01,13034,2429989,536.3810288853159
2007,Alabama,01,12917,2455478,526.0482887649574
2008,Alabama,01,13328,2475904,538.3084319909011
2009,Alabama,01,13421,2497821,537.3083179299077
2010,Alabama,01,13423,2510310,534.7148360162689
2011,Alabama,01,13770,2518131,546.8341400824659
2012,Alabama,01,13879,2513296,552.2230568942139
2013,Alabama,01,14086,2515357,560.0000318046306
2014,Alabama,01,14091,2518038,559.6023570732451
2015,Alabama,01,14487,2522661,574.2745458069871
2016,Alabama,01,14652,2522310,580.8960833521653
2017,Alabama,01,14663,2519274,582.0327602317176
2018,Alabama,01,14660,2518479,582.0973690866591
2019,Alabama,01,14342,2514818,570.2997195025644
1999,Alaska,02,1069,342358,312.2462451585767
2000,Alaska,02,1104,343224,321.65582826375777
2001,Alaska,02,1189,345754,343.8861155619313
2002,Alaska,02,1307,349700,373.7489276522734
2003,Alaska,02,1209,352909,342.58123198898295
2004,Alaska,02,1208,358921,336.5643135954709
2005,Alaska,02,1266,364106,347.70094423052626
2006,Alaska,02,1277,369753,345.3656900687756
2007,Alaska,02,1377,373967,368.2143076795546
2008,Alaska,02,1368,378803,361.13758338767116
2009,Alaska,02,1398,386416,361.78626143844974
2010,Alaska,02,1425,393034,362.5640529826936
2011,Alaska,02,1530,399328,383.14368138472634
2012,Alaska,02,1538,402185,382.4110794783495
2013,Alaska,02,1576,398584,395.3997149910684
2014,Alaska,02,1585,399009,397.23414760068067
2015,Alaska,02,1615,398706,405.0603702979137
2016,Alaska,02,1671,402087,415.5817024673765
2017,Alaska,02,1617,400078,404.1711866186094
2018,Alaska,02,1566,396234,395.22100576931814
2019,Alaska,02,1573,391822,401.45780481953545
1999,Arizona,04,9320,2532488,368.0175384838941
2000,Arizona,04,9442,2581745,365.72163401110487
2001,Arizona,04,9723,2655211,366.1855875107477
2002,Arizona,04,10298,2722788,378.21527052418327
2003,Arizona,04,10531,2785150,378.1124894529917
2004,Arizona,04,10632,2866130,370.9531668137872
2005,Arizona,04,11393,2973036,383.21096683659397
2006,Arizona,04,11716,3082024,380.13980423254327
2007,Arizona,04,11592,3150959,367.8879985426659
2008,Arizona,04,11579,3198096,362.0591752092495
2009,Arizona,04,11745,3225927,364.0813942782958
2010,Arizona,04,11884,3247961,365.8910929041328
2011,Arizona,04,12107,3291051,367.87640179383425
2012,Arizona,04,12470,3307877,376.9789505474357
2013,Arizona,04,12772,3324670,384.1584277537319
2014,Arizona,04,12797,3367755,379.98607380881333
2015,Arizona,04,13348,3412727,391.1241655133856
2016,Arizona,04,13885,3456387,401.7200620185182
2017,Arizona,04,13808,3508591,393.54829331774494
2018,Arizona,04,14108,3583343,393.7105658040551
2019,Arizona,04,14290,3636004,393.01386907165113
1999,Arkansas,05,6104,1337237,456.4635887281013
2000,Arkansas,05,6399,1357274,471.4597052621652
2001,Arkansas,05,6453,1369275,471.27129320260724
2002,Arkansas,05,6820,1379655,494.32648017076735
2003,Arkansas,05,6887,1392384,494.61930042287185
2004,Arkansas,05,7096,1410611,503.04442542983145
2005,Arkansas,05,7193,1432196,502.2357275121562
2006,Arkansas,05,7401,1457486,507.79218462475797
2007,Arkansas,05,7451,1471771,506.2608245440357
2008,Arkansas,05,7848,1482428,529.4017652122059
2009,Arkansas,05,7776,1492421,521.0326040708352
2010,Arkansas,05,7652,1500357,510.0119504891169
2011,Arkansas,05,7948,1512776,525.3917301702301
2012,Arkansas,05,8007,1508968,530.6275547261439
2013,Arkansas,05,8032,1506764,533.0629083253914
2014,Arkansas,05,8219,1506595,545.5347986685208
2015,Arkansas,05,8358,1511614,552.9189330080299
2016,Arkansas,05,8504,1514723,561.4227815910896
2017,Arkansas,05,8560,1518247,563.8081287168689
2018,Arkansas,05,8317,1518240,547.8053535672884
2019,Arkansas,05,8303,1514707,548.1588188342696
1999,California,06,52296,17473086,299.2945836814401
2000,California,06,52829,17660131,299.1427413533909
2001,California,06,54777,18013413,304.09006888367014
2002,California,06,55515,18257406,304.06838737113037
2003,California,06,57694,18495001,311.94375171972143
2004,California,06,57127,18710704,305.31721307760523
2005,California,06,58552,18898720,309.81992431233436
2006,California,06,59019,19076858,309.37484568999776
2007,California,06,58946,19225304,306.6063350675755
2008,California,06,58225,19413377,299.9220588978414
2009,California,06,58979,19619890,300.6082093222745
2010,California,06,57367,19789451,289.88676846063083
2011,California,06,59011,20046532,294.370118482339
2012,California,06,59423,20179883,294.46652391393945
2013,California,06,59715,20356297,293.3490310148255
2014,California,06,60349,20661868,292.07910920735725
2015,California,06,61719,20900046,295.3055701408504
2016,California,06,62779,20961732,299.49338155835596
2017,California,06,62305,21172207,294.27730420357216
2018,California,06,62435,21152670,295.16368382809355
2019,California,06,62710,21101432,297.183622419559
1999,Colorado,08,6450,2315925,278.50642831697917
2000,Colorado,08,6580,2354282,279.49073220625223
2001,Colorado,08,6911,2419887,285.59184788380617
2002,Colorado,08,7242,2456235,294.84149521523796
2003,Colorado,08,7497,2477254,302.6334804586046
2004,Colorado,08,7411,2507191,295.58976559823327
2005,Colorado,08,7547,2541244,296.98053394321835
2006,Colorado,08,7642,2592138,294.8145507685162
2007,Colorado,08,7948,2643544,300.6569968194212
2008,Colorado,08,8243,2690802,306.3398942025463
2009,Colorado,08,8488,2735292,310.31421873788975
2010,Colorado,08,8296,2766264,299.89906964772706
2011,Colorado,08,8824,2810124,314.0074957546357
2012,Colorado,08,8832,2836313,311.3901744976665
2013,Colorado,08,8772,2867753,305.88408415927034
2014,Colorado,08,9122,2906081,313.89352189426245
2015,Colorado,08,9266,2956802,313.37911703252365
2016,Colorado,08,9695,3001518,323.00322703378754
2017,Colorado,08,9711,3052049,318.1796884650279
2018,Colorado,08,9704,3095272,313.5104120090254
2019,Colorado,08,9941,3130588,317.54418019873583
1999,Connecticut,09,5496,1813734,303.0212809596115
2000,Connecticut,09,5809,1822109,318.80639412900103
2001,Connecticut,09,5698,1837510,310.0935505112897
2002,Connecticut,09,5779,1852430,311.9686034020179
2003,Connecticut,09,5846,1866181,313.26007498736726
2004,Connecticut,09,5766,1873750,307.72515010006674
2005,Connecticut,09,5689,1881465,302.3707589564515
2006,Connecticut,09,5704,1890922,301.65178680030164
2007,Connecticut,09,5701,1897047,300.519702463882
2008,Connecticut,09,5698,1906091,298.93640964675876
2009,Connecticut,09,5738,1915360,299.5781471890402
2010,Connecticut,09,5765,1923864,299.65735623723924
2011,Connecticut,09,5788,1930902,299.7562797076185
2012,Connecticut,09,5901,1927009,306.2258660961106
2013,Connecticut,09,5932,1920952,308.80521741303266
2014,Connecticut,09,5875,1915272,306.7449427548672
2015,Connecticut,09,6127,1907806,321.1542473396142
2016,Connecticut,09,6239,1893731,329.4554506421451
2017,Connecticut,09,6302,1889765,333.48061796043424
2018,Connecticut,09,6401,1875482,341.29893008837195
2019,Connecticut,09,6493,1865530,348.0512240489298
1999,Delaware,10,1507,408593,368.82668082908907
2000,Delaware,10,1594,411959,386.9317092234907
2001,Delaware,10,1703,417695,407.7137624343121
2002,Delaware,10,1616,423482,381.59827336226806
2003,Delaware,10,1716,430700,398.42117483166936
