year,state,state_code,deaths,population,crude_rate
1999,Alabama,01,958,478379,200.25962678127595
2000,Alabama,01,956,488458,195.7179532324171
2001,Alabama,01,947,504869,187.5734101321333
2002,Alabama,01,939,519029,180.9147465748542
2003,Alabama,01,893,532843,167.59157950841055
2004,Alabama,01,867,546430,158.66625185293634
2005,Alabama,01,868,561373,154.62090267968
2006,Alabama,01,916,576970,158.7604208191067
2007,Alabama,01,897,590024,152.02771412688298
2008,Alabama,01,884,600629,147.17904063906337
2009,Alabama,01,956,611247,156.40158561105412
2010,Alabama,01,887,619064,143.28082395358152
2011,Alabama,01,971,624610,155.45700517122685
2012,Alabama,01,864,621183,139.08944707115293
2013,Alabama,01,878,620025,141.60719325833634
2014,Alabama,01,846,619182,136.631878833687
2015,Alabama,01,883,619398,142.55777383846896
2016,Alabama,01,815,620311,131.38570813672496
2017,Alabama,01,904,618899,146.06583626730693
2018,Alabama,01,872,615910,141.57912682047703
2019,Alabama,01,765,611582,125.08543416908935
1999,Alaska,02,83,72004,115.27137381256597
2000,Alaska,02,94,74167,126.74100341122062
2001,Alaska,02,88,78258,112.44856755858825
2002,Alaska,02,120,82185,146.0120459937945
2003,Alaska,02,84,85617,98.11135638950208
2004,Alaska,02,97,89126,108.83468348181226
2005,Alaska,02,96,92372,103.92759710734853
2006,Alaska,02,78,95405,81.75672134584141
2007,Alaska,02,89,97267,91.50071452805165
2008,Alaska,02,79,99122,79.69976392728152
2009,Alaska,02,128,102585,124.7745771798996
2010,Alaska,02,106,103311,102.60282060961562
2011,Alaska,02,137,104964,130.52094051293776
2012,Alaska,02,126,104008,121.14452734405046
2013,Alaska,02,107,100777,106.17502009387061
2014,Alaska,02,134,99177,135.11197152565614
2015,Alaska,02,124,97624,127.01794640662132
2016,Alaska,02,132,98462,134.06187158497696
2017,Alaska,02,101,96981,104.14411070209628
2018,Alaska,02,117,94622,123.64989114582232
2019,Alaska,02,96,92568,103.70754472387866
1999,Arizona,04,897,499668,179.51920074929754
2000,Arizona,04,858,518199,165.57345730115264
2001,Arizona,04,883,546584,161.54881957759466
2002,Arizona,04,956,571327,167.32974286179368
2003,Arizona,04,911,595508,152.97863336848542
2004,Arizona,04,935,622019,150.31695173298564
2005,Arizona,04,1022,654740,156.0924947307328
2006,Arizona,04,1021,686036,148.82600913071616
2007,Arizona,04,930,711295,130.74743952930922
2008,Arizona,04,1010,730795,138.20565274803468
2009,Arizona,04,984,746851,131.75318771749653
2010,Arizona,04,970,760529,127.54280244408825
2011,Arizona,04,1023,775479,131.9184658772191
2012,Arizona,04,977,778547,125.49017593029065
2013,Arizona,04,956,783433,122.02702719951802
2014,Arizona,04,882,793466,111.15788200124516
2015,Arizona,04,993,804934,123.36415159503761
2016,Arizona,04,1037,814661,127.29221111603478
2017,Arizona,04,1005,822871,122.13335990695991
2018,Arizona,04,893,834568,107.00146662704537
2019,Arizona,04,895,843189,106.14464847145777
1999,Arkansas,05,610,286189,213.1458581566727
2000,Arkansas,05,664,294114,225.76279945871332
2001,Arkansas,05,697,303880,229.36685533763327
2002,Arkansas,05,750,312126,240.28757617116165
2003,Arkansas,05,707,319831,221.05424427275653
2004,Arkansas,05,720,328205,219.37508569339283
2005,Arkansas,05,735,336790,218.23688351791918
2006,Arkansas,05,785,346014,226.86943302872137
2007,Arkansas,05,745,353186,210.93701335840038
2008,Arkansas,05,800,359310,222.64896607386376
2009,Arkansas,05,767,365304,209.9621137463592
2010,Arkansas,05,750,369819,202.80191120521118
2011,Arkansas,05,818,373989,218.7230105698296
2012,Arkansas,05,778,370878,209.77248583092015
2013,Arkansas,05,700,369128,189.63611538544896
2014,Arkansas,05,820,367943,222.86060612649243
2015,Arkansas,05,772,368705,209.38148384209597
2016,Arkansas,05,758,369009,205.41504407751572
2017,Arkansas,05,851,368268,231.0817122313098
2018,Arkansas,05,781,366385,213.1637485159054
2019,Arkansas,05,830,363792,228.15235079386022
1999,California,06,5059,3287518,153.88508899418954
2000,California,06,4969,3391069,146.5319638143606
