year,state,state_code,ten_year_age,sex_code,deaths,population,crude_rate
2001,Idaho,16,55-64 years,M,123,56484,217.8
2001,Illinois,17,55-64 years,M,1451,509041,285.0
2001,Indiana,18,55-64 years,M,785,262727,298.8
2001,Iowa,19,55-64 years,M,326,127912,254.9
2001,Kansas,20,55-64 years,M,251,110151,227.9
2001,Kentucky,21,55-64 years,M,651,184085,353.6
2001,Louisiana,22,55-64 years,M,636,184096,345.5
2001,Maine,23,55-64 years,M,135,62620,215.6
2001,Maryland,24,55-64 years,M,597,233749,255.4
2001,Massachusetts,25,55-64 years,M,578,269128,214.8
2001,Michigan,26,55-64 years,M,1304,430507,302.9
2001,Minnesota,27,55-64 years,M,386,206297,187.1
2001,Mississippi,28,55-64 years,M,422,119585,352.9
2001,Missouri,29,55-64 years,M,760,249323,304.8
2001,Montana,30,55-64 years,M,107,44454,240.7
2001,Nebraska,31,55-64 years,M,131,71059,184.4
2001,Nevada,32,55-64 years,M,345,102075,338.0
2001,New Hampshire,33,55-64 years,M,139,56723,245.1
2001,New Jersey,34,55-64 years,M,895,369011,242.5
2001,New Mexico,35,55-64 years,M,185,79037,234.1
2001,New York,36,55-64 years,M,2319,806901,287.4
2001,North Carolina,37,55-64 years,M,1055,359046,293.8
2001,North Dakota,38,55-64 years,M,73,26977,270.6
2001,Ohio,39,55-64 years,M,1536,491046,312.8
2001,Oklahoma,40,55-64 years,M,565,155414,363.5
2001,Oregon,41,55-64 years,M,319,156869,203.4
2001,Pennsylvania,42,55-64 years,M,1482,550478,269.2
2001,Rhode Island,44,55-64 years,M,126,44023,286.2
2001,South Carolina,45,55-64 years,M,575,185016,310.8
2001,South Dakota,46,55-64 years,M,90,31543,285.3
2001,Tennessee,47,55-64 years,M,958,263636,363.4
2001,Texas,48,55-64 years,M,2398,805088,297.9
2001,Utah,49,55-64 years,M,136,72891,186.6
2001,Vermont,50,55-64 years,M,55,29333,187.5
2001,Virginia,51,55-64 years,M,801,318881,251.2
2001,Washington,53,55-64 years,M,588,258680,227.3
2001,West Virginia,54,55-64 years,M,304,91840,331.0
2001,Wisconsin,55,55-64 years,M,571,231407,246.8
2001,Wyoming,56,55-64 years,M,58,23494,246.9
2002,Alabama,01,55-64 years,M,577,212993,270.9
2002,Alaska,02,55-64 years,M,70,28058,249.5
2002,Arizona,04,55-64 years,M,632,236953,266.7
2002,Arkansas,05,55-64 years,M,457,132792,344.1
2002,California,06,55-64 years,M,3267,1402754,232.9
2002,Colorado,08,55-64 years,M,381,191359,199.1
2002,Connecticut,09,55-64 years,M,339,163483,207.4
2002,Delaware,10,55-64 years,M,81,37963,213.4
2002,District of Columbia,11,55-64 years,M,90,24507,367.2
2002,Florida,12,55-64 years,M,2194,818394,268.1
2002,Georgia,13,55-64 years,M,955,356990,267.5
2002,Hawaii,15,55-64 years,M,112,59189,189.2
2002,Idaho,16,55-64 years,M,145,60386,240.1
2002,Illinois,17,55-64 years,M,1537,536673,286.4
2002,Indiana,18,55-64 years,M,753,278013,270.9
2002,Iowa,19,55-64 years,M,324,134720,240.5
2002,Kansas,20,55-64 years,M,244,117000,208.5
2002,Kentucky,21,55-64 years,M,599,195550,306.3
2002,Louisiana,22,55-64 years,M,637,195381,326.0
2002,Maine,23,55-64 years,M,154,67350,228.7
2002,Maryland,24,55-64 years,M,627,249818,251.0
2002,Massachusetts,25,55-64 years,M,584,287556,203.1
2002,Michigan,26,55-64 years,M,1311,457154,286.8
2002,Minnesota,27,55-64 years,M,343,219712,156.1
2002,Mississippi,28,55-64 years,M,459,126448,363.0
2002,Missouri,29,55-64 years,M,770,263321,292.4
2002,Montana,30,55-64 years,M,107,47479,225.4
2002,Nebraska,31,55-64 years,M,159,75051,211.9
