year,state,state_code,deaths,population,crude_rate
1999,Alabama,01,8198,996193,822.9329055715107
2000,Alabama,01,8375,1015741,824.5212116080771
2001,Alabama,01,8622,1048479,822.3340667767309
2002,Alabama,01,8871,1077429,823.3489167267634
2003,Alabama,01,9349,1105027,846.0426758803178
2004,Alabama,01,9512,1133736,838.9960272938322
2005,Alabama,01,10000,1163718,859.3147137021167
2006,Alabama,01,10106,1196222,844.8264619777934
2007,Alabama,01,10185,1222870,832.8767571368993
2008,Alabama,01,10666,1244494,857.0551565535873
2009,Alabama,01,10733,1265621,848.0421864049348
2010,Alabama,01,10793,1281887,841.9618889964561
2011,Alabama,01,11154,1295372,861.0653927983622
2012,Alabama,01,11162,1288872,866.0285893401361
2013,Alabama,01,11424,1287234,887.484326858986
2014,Alabama,01,11352,1286061,882.6952998341446
2015,Alabama,01,11738,1287439,911.7325170357586
2016,Alabama,01,11649,1289110,903.6467019881934
2017,Alabama,01,11719,1287177,910.4419982644189
2018,Alabama,01,11692,1282637,911.5595449063142
2019,Alabama,01,11390,1274283,893.8359846282183
1999,Alaska,02,703,135461,518.9685592163057
2000,Alaska,02,747,139702,534.7095961403559
2001,Alaska,02,817,147596,553.5380362611453
2002,Alaska,02,907,155272,584.1362254624144
2003,Alaska,02,885,162136,545.8380618739824
2004,Alaska,02,860,169057,508.70416486747075
2005,Alaska,02,921,175353,525.2262578912251
2006,Alaska,02,932,181283,514.1132924764042
2007,Alaska,02,1036,185355,558.9274635159559
2008,Alaska,02,1021,189130,539.8403214720034
2009,Alaska,02,1061,195393,543.0081937428669
2010,Alaska,02,1099,196935,558.0521491862797
2011,Alaska,02,1183,200496,590.0367089617748
2012,Alaska,02,1172,199082,588.7021428356154
2013,Alaska,02,1216,193302,629.0674695554106
2014,Alaska,02,1234,190633,647.3170962005529
2015,Alaska,02,1239,188064,658.8182746299133
2016,Alaska,02,1214,189489,640.6704346954176
2017,Alaska,02,1179,186651,631.6601571917644
2018,Alaska,02,1167,182719,638.6856320360772
2019,Alaska,02,1104,178469,618.5948259921892
