year,state,state_code,deaths,population,crude_rate
1999,Alabama,01,874,410542,212.88930243434288
2000,Alabama,01,861,415532,207.2042586371206
2001,Alabama,01,834,425024,196.22421322090045
2002,Alabama,01,850,447523,189.9343720881385
2003,Alabama,01,785,465670,168.5743122812292
2004,Alabama,01,762,485363,156.9958979155807
2005,Alabama,01,815,504487,161.55024807378584
2006,Alabama,01,793,524312,151.24582309769755
2007,Alabama,01,818,542075,150.90162800350504
2008,Alabama,01,789,556340,141.81975051227667
2009,Alabama,01,856,572887,149.4186462600827
2010,Alabama,01,807,588033,137.23719587166028
2011,Alabama,01,904,610224,148.1423215081675
2012,Alabama,01,801,615408,130.15755401294751
2013,Alabama,01,826,622799,132.62705945256815
2014,Alabama,01,826,629476,131.2202530358584
2015,Alabama,01,832,637997,130.4081367153764
2016,Alabama,01,837,645092,129.74893503562282
2017,Alabama,01,854,650545,131.2745467262065
2018,Alabama,01,871,655179,132.94076885858675
2019,Alabama,01,785,657667,119.36131811387831
1999,Alaska,02,63,43341,145.35889804111582
2000,Alaska,02,70,44750,156.4245810055866
2001,Alaska,02,58,47643,121.73876540100329
2002,Alaska,02,85,52428,162.1271076523995
2003,Alaska,02,64,56268,113.74138053600626
2004,Alaska,02,73,60988,119.69567783826325
2005,Alaska,02,82,65507,125.17746195063124
2006,Alaska,02,56,69753,80.28328530672516
2007,Alaska,02,71,73679,96.36395716554243
2008,Alaska,02,68,77967,87.2163864198956
2009,Alaska,02,96,83075,115.55823051459524
2010,Alaska,02,98,85909,114.07419478750771
2011,Alaska,02,126,90885,138.63673873576496
2012,Alaska,02,89,92816,95.8886398896742
2013,Alaska,02,86,92820,92.65244559362206
2014,Alaska,02,110,93050,118.21601289629233
2015,Alaska,02,117,93624,124.96795693411944
2016,Alaska,02,126,95322,132.18354629571348
2017,Alaska,02,104,95366,109.05354109431035
2018,Alaska,02,109,94602,115.21955138369168
2019,Alaska,02,99,93339,106.06498891138753
1999,Arizona,04,832,427747,194.50750092928766
2000,Arizona,04,774,442372,174.96586583237635
2001,Arizona,04,800,464349,172.28420864479088
2002,Arizona,04,842,496951,169.43320367601635
2003,Arizona,04,820,527386,155.4838391614491
2004,Arizona,04,882,559670,157.59286722532923
2005,Arizona,04,928,596994,155.44544836296512
2006,Arizona,04,913,633263,144.17390562846717
2007,Arizona,04,874,660397,132.3446351209954
2008,Arizona,04,928,682249,136.02071970790723
2009,Arizona,04,879,704828,124.71127707752814
2010,Arizona,04,927,726228,127.64586328260546
2011,Arizona,04,980,756230,129.59020403845392
2012,Arizona,04,963,764833,125.90983914135504
2013,Arizona,04,901,776850,115.981206153054
2014,Arizona,04,880,793914,110.84323994790368
2015,Arizona,04,980,813701,120.43735966896932
2016,Arizona,04,1015,831142,122.12112972271886
2017,Arizona,04,988,846253,116.74995539159093
2018,Arizona,04,892,866277,102.96937353756361
2019,Arizona,04,873,880794,99.11511658798764
1999,Arkansas,05,548,251017,218.31190716166634
2000,Arkansas,05,617,256783,240.28070394068143
2001,Arkansas,05,633,262728,240.93358911117204
2002,Arkansas,05,672,276471,243.06346777781397
2003,Arkansas,05,632,286595,220.52024634065492
2004,Arkansas,05,645,297658,216.69163939823554
2005,Arkansas,05,646,308071,209.69192166740785
2006,Arkansas,05,689,318693,216.19552359166974
2007,Arkansas,05,644,327923,196.3875665933771
2008,Arkansas,05,670,335312,199.81390466192678
2009,Arkansas,05,693,343649,201.65925115452106
2010,Arkansas,05,691,350991,196.8711448441698
2011,Arkansas,05,736,363599,202.4207987370702
2012,Arkansas,05,746,364152,204.8595092159318
2013,Arkansas,05,732,366965,199.4740642840598
2014,Arkansas,05,733,369673,198.28334771541338
2015,Arkansas,05,781,374520,208.5335896614333
2016,Arkansas,05,796,378345,210.38998797393913
2017,Arkansas,05,889,381856,232.8102740300008
2018,Arkansas,05,805,384467,209.38077910457852
2019,Arkansas,05,888,385994,230.05538946201236
1999,California,06,4641,2543047,182.49761015034326
2000,California,06,4558,2614093,174.36258006122964
2001,California,06,4379,2728417,160.4959945638808
2002,California,06,4586,2909487,157.6222887402487
2003,California,06,4666,3062563,152.35604949187984
2004,California,06,4485,3205945,139.89634881446813
2005,California,06,4680,3352893,139.58095292632365
2006,California,06,4697,3487880,134.66633026365585
2007,California,06,4633,3618423,128.03920381890123
2008,California,06,4561,3748885,121.6628410847492
2009,California,06,4460,3905550,114.19646400634994
2010,California,06,4464,4036493,110.59105020125143
2011,California,06,4577,4219756,108.46598713290531
2012,California,06,4731,4303873,109.92424730004812
2013,California,06,4644,4403436,105.46309745389736
2014,California,06,4500,4519600,99.5663333038322
2015,California,06,4671,4629863,100.88851441176553
2016,California,06,4780,4688718,101.94684346552724
2017,California,06,4776,4762678,100.2797165796218
2018,California,06,4804,4781226,100.47632134519472
2019,California,06,4744,4786635,99.10929076480659
1999,Colorado,08,478,329046,145.2684427101378
2000,Colorado,08,415,339307,122.30811624870691
2001,Colorado,08,401,357994,112.01305049805305
2002,Colorado,08,489,387560,126.17401176592011
2003,Colorado,08,454,413675,109.74799057230918
2004,Colorado,08,466,437960,106.40241117910311
2005,Colorado,08,441,465940,94.64737949092158
2006,Colorado,08,482,494724,97.42806089860204
2007,Colorado,08,483,523432,92.27559644805821
2008,Colorado,08,481,549645,87.51102984653731
2009,Colorado,08,491,577217,85.06332973561071
2010,Colorado,08,483,597644,80.81734276592755
2011,Colorado,08,537,628620,85.42521714231174
2012,Colorado,08,536,641878,83.50496511798193
2013,Colorado,08,491,656161,74.82919588332742
2014,Colorado,08,577,670286,86.08265725376928
2015,Colorado,08,548,685560,79.93465196335842
2016,Colorado,08,558,699310,79.79293875391457
2017,Colorado,08,539,706480,76.29373796851998
2018,Colorado,08,543,710600,76.41429777652688
2019,Colorado,08,525,713013,73.63119606514888
1999,Connecticut,09,506,302459,167.295402021431
2000,Connecticut,09,477,308613,154.56251032846964
2001,Connecticut,09,451,319614,141.10771117660678
2002,Connecticut,09,469,341014,137.5310104570487
2003,Connecticut,09,462,356867,129.45999490006082
2004,Connecticut,09,409,370289,110.45426680241648
2005,Connecticut,09,380,383215,99.16104536617826
