year,state,state_code,deaths,population,crude_rate,unemployment_rate,poverty_rate,cigarette_tax_per_pack,expansion_year,treat_post
1999,Alabama,01,8198.0,996193.0,822.9329055715107,4.7,15.3,0.165,3000,0
2000,Alabama,01,8375.0,1015741.0,824.5212116080771,4.7,14.6,0.165,3000,0
2001,Alabama,01,8622.0,1048479.0,822.3340667767309,5.1,15.7,0.165,3000,0
2002,Alabama,01,8871.0,1077429.0,823.3489167267634,5.9,15.4,0.165,3000,0
2003,Alabama,01,9349.0,1105027.0,846.0426758803178,5.9,15.3,0.165,3000,0
2004,Alabama,01,9512.0,1133736.0,838.9960272938322,5.6,16.1,0.425,3000,0
2005,Alabama,01,10000.0,1163718.0,859.3147137021167,4.5,16.9,0.425,3000,0
2006,Alabama,01,10106.0,1196222.0,844.8264619777934,4.0,16.6,0.425,3000,0
2007,Alabama,01,10185.0,1222870.0,832.8767571368993,4.1,16.6,0.425,3000,0
2008,Alabama,01,10666.0,1244494.0,857.0551565535873,5.9,15.9,0.425,3000,0
2009,Alabama,01,10733.0,1265621.0,848.0421864049348,9.7,17.5,0.425,3000,0
2010,Alabama,01,10793.0,1281887.0,841.9618889964561,10.4,18.9,0.425,3000,0
2011,Alabama,01,11154.0,1295372.0,861.0653927983622,9.6,19.1,0.425,3000,0
2012,Alabama,01,11162.0,1288872.0,866.0285893401361,8.2,19.0,0.425,3000,0
2013,Alabama,01,11424.0,1287234.0,887.484326858986,7.4,18.9,0.425,3000,0
2014,Alabama,01,11352.0,1286061.0,882.6952998341446,6.8,19.2,0.425,3000,0
2015,Alabama,01,11738.0,1287439.0,911.7325170357586,6.1,18.5,0.425,3000,0
2016,Alabama,01,11649.0,1289110.0,903.6467019881934,5.8,17.2,0.675,3000,0
2017,Alabama,01,11719.0,1287177.0,910.4419982644189,4.5,16.9,0.675,3000,0
2018,Alabama,01,11692.0,1282637.0,911.5595449063142,3.9,16.8,0.675,3000,0
2019,Alabama,01,11390.0,1274283.0,893.8359846282183,3.2,15.6,0.675,3000,0
1999,Alaska,02,703.0,135461.0,518.9685592163057,6.4,8.8,1.0,2015,0
2000,Alaska,02,747.0,139702.0,534.7095961403559,6.3,8.5,1.0,2015,0
2001,Alaska,02,817.0,147596.0,553.5380362611453,6.3,8.7,1.0,2015,0
2002,Alaska,02,907.0,155272.0,584.1362254624144,7.2,9.3,1.0,2015,0
2003,Alaska,02,885.0,162136.0,545.8380618739824,7.7,9.8,1.0,2015,0
2004,Alaska,02,860.0,169057.0,508.70416486747075,7.4,10.0,1.0,2015,0
2005,Alaska,02,921.0,175353.0,525.2262578912251,6.9,10.8,1.6,2015,0
2006,Alaska,02,932.0,181283.0,514.1132924764042,6.6,10.9,1.6,2015,0
2007,Alaska,02,1036.0,185355.0,558.9274635159559,6.2,9.8,1.8,2015,0
2008,Alaska,02,1021.0,189130.0,539.8403214720034,6.5,9.2,2.0,2015,0
2009,Alaska,02,1061.0,195393.0,543.0081937428669,7.8,9.1,2.0,2015,0
2010,Alaska,02,1099.0,196935.0,558.0521491862797,8.0,11.0,2.0,2015,0
2011,Alaska,02,1183.0,200496.0,590.0367089617748,7.6,10.8,2.0,2015,0
2012,Alaska,02,1172.0,199082.0,588.7021428356154,7.1,10.8,2.0,2015,0
2013,Alaska,02,1216.0,193302.0,629.0674695554106,6.9,10.1,2.0,2015,0
2014,Alaska,02,1234.0,190633.0,647.3170962005529,6.7,11.4,2.0,2015,0
2015,Alaska,02,1239.0,188064.0,658.8182746299133,6.3,10.4,2.0,2015,1
2016,Alaska,02,1214.0,189489.0,640.6704346954176,6.6,9.9,2.0,2015,1
2017,Alaska,02,1179.0,186651.0,631.6601571917644,6.6,11.0,2.0,2015,1
2018,Alaska,02,1167.0,182719.0,638.6856320360772,6.1,11.1,2.0,2015,1
2019,Alaska,02,1104.0,178469.0,618.5948259921892,5.6,10.2,2.0,2015,1
1999,Arizona,04,6781.0,1032514.0,656.7465429040187,4.5,12.8,0.58,2014,0
