year,state,state_code,deaths,population,crude_rate,unemployment_rate,expansion_year,treat_post
2008,Nebraska,31,110,98183,112.0,3.2,2020,0
2009,Nebraska,31,116,102028,113.7,4.6,2020,0
2010,Nebraska,31,149,105119,141.7,4.7,2020,0
2011,Nebraska,31,143,110323,129.6,4.4,2020,0
2012,Nebraska,31,137,112122,122.2,3.9,2020,0
2013,Nebraska,31,149,114062,130.6,3.7,2020,0
2014,Nebraska,31,165,115874,142.4,3.2,2020,0
2015,Nebraska,31,171,117884,145.1,3.0,2020,0
2016,Nebraska,31,143,119104,120.1,3.1,2020,0
2017,Nebraska,31,156,119764,130.3,3.0,2020,0
2018,Nebraska,31,166,119990,138.3,2.9,2020,0
2019,Nebraska,31,143,119759,119.4,3.1,2020,0
1999,Nevada,32,297,91487,324.6,4.1,2014,0
2000,Nevada,32,303,95583,317.0,4.2,2014,0
2001,Nevada,32,345,102075,338.0,5.1,2014,0
2002,Nevada,32,304,111082,273.7,5.6,2014,0
2003,Nevada,32,308,118328,260.3,5.2,2014,0
2004,Nevada,32,289,126302,228.8,4.4,2014,0
2005,Nevada,32,330,133011,248.1,4.2,2014,0
2006,Nevada,32,325,138899,234.0,4.1,2014,0
2007,Nevada,32,337,144262,233.6,4.8,2014,0
2008,Nevada,32,299,147605,202.6,6.9,2014,0
2009,Nevada,32,319,151534,210.5,11.1,2014,0
2010,Nevada,32,334,155238,215.2,13.3,2014,0
2011,Nevada,32,307,160219,191.6,13.0,2014,0
2012,Nevada,32,337,162197,207.8,11.5,2014,0
2013,Nevada,32,355,165074,215.1,10.0,2014,0
2014,Nevada,32,371,169069,219.4,8.2,2014,1
2015,Nevada,32,378,173636,217.7,6.9,2014,1
2016,Nevada,32,404,177849,227.2,5.8,2014,1
2017,Nevada,32,382,182463,209.4,5.0,2014,1
2018,Nevada,32,390,185719,210.0,4.4,2014,1
2019,Nevada,32,389,189422,205.4,4.1,2014,1
1999,New Hampshire,33,145,52450,276.5,2.7,2014,0
2000,New Hampshire,33,136,54400,250.0,2.7,2014,0
2001,New Hampshire,33,139,56723,245.1,3.4,2014,0
2002,New Hampshire,33,127,61460,206.6,4.5,2014,0
2003,New Hampshire,33,141,65456,215.4,4.4,2014,0
2004,New Hampshire,33,116,69260,167.5,3.8,2014,0
2005,New Hampshire,33,139,72775,191.0,3.6,2014,0
2006,New Hampshire,33,130,76287,170.4,3.5,2014,0
2007,New Hampshire,33,134,79561,168.4,3.5,2014,0
2008,New Hampshire,33,125,82377,151.7,3.8,2014,0
2009,New Hampshire,33,135,85290,158.3,6.1,2014,0
2010,New Hampshire,33,128,88012,145.4,6.1,2014,0
2011,New Hampshire,33,130,92116,141.1,5.5,2014,0
2012,New Hampshire,33,134,93547,143.2,5.5,2014,0
2013,New Hampshire,33,137,95564,143.4,5.2,2014,0
2014,New Hampshire,33,117,97595,119.9,4.3,2014,1
2015,New Hampshire,33,124,99471,124.7,3.4,2014,1
2016,New Hampshire,33,174,101481,171.5,2.9,2014,1
2017,New Hampshire,33,146,102887,141.9,2.8,2014,1
2018,New Hampshire,33,146,104235,140.1,2.6,2014,1
2019,New Hampshire,33,158,105037,150.4,2.6,2014,1
1999,New Jersey,34,891,352541,252.7,4.4,2014,0
2000,New Jersey,34,976,358632,272.1,3.7,2014,0
2001,New Jersey,34,895,369011,242.5,4.2,2014,0
2002,New Jersey,34,873,390822,223.4,5.8,2014,0
2003,New Jersey,34,871,406938,214.0,5.8,2014,0
2004,New Jersey,34,835,419614,199.0,4.9,2014,0
2005,New Jersey,34,864,433623,199.3,4.4,2014,0
2006,New Jersey,34,793,447202,177.3,4.7,2014,0
2007,New Jersey,34,791,459093,172.3,4.2,2014,0
2008,New Jersey,34,757,467853,161.8,5.4,2014,0
2009,New Jersey,34,750,484788,154.7,8.9,2014,0
2010,New Jersey,34,787,499196,157.7,9.7,2014,0
2011,New Jersey,34,786,519346,151.3,9.4,2014,0
2012,New Jersey,34,825,528133,156.2,9.4,2014,0
2013,New Jersey,34,858,540141,158.8,8.4,2014,0
2014,New Jersey,34,775,553469,140.0,6.7,2014,1
2015,New Jersey,34,797,566337,140.7,5.7,2014,1
2016,New Jersey,34,815,575478,141.6,4.9,2014,1
2017,New Jersey,34,848,586428,144.6,4.5,2014,1
2018,New Jersey,34,835,588230,142.0,4.0,2014,1
2019,New Jersey,34,806,590363,136.5,3.5,2014,1
1999,New Mexico,35,196,74425,263.4,5.6,2014,0
2000,New Mexico,35,173,76195,227.0,5.0,2014,0
2001,New Mexico,35,185,79037,234.1,5.0,2014,0
2002,New Mexico,35,199,84608,235.2,5.5,2014,0
2003,New Mexico,35,168,89419,187.9,5.9,2014,0
2004,New Mexico,35,180,94687,190.1,5.6,2014,0
2005,New Mexico,35,194,100486,193.1,5.2,2014,0
2006,New Mexico,35,191,106320,179.6,4.2,2014,0
2007,New Mexico,35,226,111662,202.4,3.6,2014,0
2008,New Mexico,35,227,115835,196.0,4.4,2014,0
2009,New Mexico,35,240,120139,199.8,7.1,2014,0
2010,New Mexico,35,217,123768,175.3,7.8,2014,0
2011,New Mexico,35,231,127916,180.6,7.2,2014,0
2012,New Mexico,35,215,128417,167.4,6.9,2014,0
2013,New Mexico,35,237,128436,184.5,6.9,2014,0
2014,New Mexico,35,225,128725,174.8,6.6,2014,1
2015,New Mexico,35,245,129423,189.3,6.6,2014,1
2016,New Mexico,35,268,130341,205.6,6.8,2014,1
2017,New Mexico,35,266,131169,202.8,6.1,2014,1
2018,New Mexico,35,265,130972,202.3,4.9,2014,1
2019,New Mexico,35,309,130258,237.2,5.0,2014,1
1999,New York,36,2477,775941,319.2,5.2,2014,0
2000,New York,36,2411,786187,306.7,4.5,2014,0
2001,New York,36,2319,806901,287.4,4.9,2014,0
2002,New York,36,2341,850193,275.3,6.2,2014,0
2003,New York,36,2319,883032,262.6,6.4,2014,0
2004,New York,36,2200,914401,240.6,5.8,2014,0
2005,New York,36,2202,946497,232.6,5.0,2014,0
2006,New York,36,2243,977666,229.4,4.5,2014,0
2007,New York,36,2146,1005180,213.5,4.4,2014,0
2008,New York,36,2226,1028452,216.4,5.4,2014,0
2009,New York,36,2170,1061593,204.4,8.4,2014,0
2010,New York,36,2076,1092206,190.1,8.7,2014,0
2011,New York,36,2011,1135032,177.2,8.4,2014,0
2012,New York,36,2090,1148476,182.0,8.6,2014,0
2013,New York,36,2085,1171313,178.0,7.8,2014,0
2014,New York,36,2079,1193416,174.2,6.3,2014,1
2015,New York,36,2128,1216582,174.9,5.2,2014,1
2016,New York,36,2160,1228302,175.9,4.9,2014,1
2017,New York,36,2163,1244341,173.8,4.6,2014,1
2018,New York,36,2239,1242850,180.2,4.1,2014,1
2019,New York,36,2139,1244122,171.9,3.9,2014,1
1999,North Carolina,37,1118,337298,331.5,3.3,2023,0
2000,North Carolina,37,1133,344460,328.9,3.8,2023,0
2001,North Carolina,37,1055,359046,293.8,5.5,2023,0
2002,North Carolina,37,1075,384501,279.6,6.5,2023,0
2003,North Carolina,37,1102,406936,270.8,6.3,2023,0
2004,North Carolina,37,1058,427657,247.4,5.5,2023,0
2005,North Carolina,37,1078,449250,240.0,5.2,2023,0
2006,North Carolina,37,1155,470588,245.4,4.7,2023,0
2007,North Carolina,37,1139,492505,231.3,4.7,2023,0
2008,North Carolina,37,1183,508196,232.8,5.9,2023,0
2009,North Carolina,37,1117,526246,212.3,10.8,2023,0
2010,North Carolina,37,1127,540278,208.6,10.8,2023,0
2011,North Carolina,37,1164,562458,206.9,10.4,2023,0
2012,North Carolina,37,1166,567962,205.3,9.6,2023,0
2013,North Carolina,37,1168,577562,202.2,7.8,2023,0
2014,North Carolina,37,1132,588034,192.5,6.1,2023,0
2015,North Carolina,37,1167,601543,194.0,5.7,2023,0
2016,North Carolina,37,1162,615907,188.7,5.1,2023,0
2017,North Carolina,37,1189,625948,190.0,4.5,2023,0
2018,North Carolina,37,1223,636355,192.2,4.0,2023,0
2019,North Carolina,37,1144,646738,176.9,3.9,2023,0
1999,North Dakota,38,82,26261,312.3,3.1,2014,0
2000,North Dakota,38,80,26450,302.5,2.9,2014,0
2001,North Dakota,38,73,26977,270.6,2.8,2014,0
2002,North Dakota,38,69,28418,242.8,3.4,2014,0
2003,North Dakota,38,77,29773,258.6,3.5,2014,0
2004,North Dakota,38,66,31275,211.0,3.4,2014,0
2005,North Dakota,38,65,33093,196.4,3.3,2014,0
2006,North Dakota,38,76,34637,219.4,3.1,2014,0
2007,North Dakota,38,58,36716,158.0,3.0,2014,0
2008,North Dakota,38,78,38529,202.4,3.0,2014,0
2009,North Dakota,38,75,40467,185.3,3.9,2014,0
2010,North Dakota,38,83,41934,197.9,3.7,2014,0
2011,North Dakota,38,69,44128,156.4,3.3,2014,0
2012,North Dakota,38,67,45059,148.7,2.9,2014,0
2013,North Dakota,38,70,46140,151.7,2.9,2014,0
2014,North Dakota,38,76,47119,161.3,2.7,2014,1
2015,North Dakota,38,84,48047,174.8,2.8,2014,1
2016,North Dakota,38,75,48380,155.0,3.0,2014,1
2017,North Dakota,38,66,48269,136.7,2.6,2014,1
2018,North Dakota,38,70,47869,146.2,2.4,2014,1
2019,North Dakota,38,84,47408,177.2,2.2,2014,1
1999,Ohio,39,1548,477384,324.3,4.3,2014,0
2000,Ohio,39,1592,480567,331.3,4.1,2014,0
2001,Ohio,39,1536,491046,312.8,4.4,2014,0
2002,Ohio,39,1554,521442,298.0,5.8,2014,0
2003,Ohio,39,1471,544487,270.2,6.2,2014,0
2004,Ohio,39,1461,567780,257.3,6.2,2014,0
2005,Ohio,39,1438,592427,242.7,5.9,2014,0
2006,Ohio,39,1542,615683,250.5,5.4,2014,0
2007,Ohio,39,1518,637727,238.0,5.6,2014,0
2008,Ohio,39,1516,656266,231.0,6.6,2014,0
2009,Ohio,39,1372,681340,201.4,10.2,2014,0
2010,Ohio,39,1489,703861,211.5,10.0,2014,0
2011,Ohio,39,1425,734218,194.1,8.8,2014,0
2012,Ohio,39,1497,741182,202.0,7.4,2014,0
2013,Ohio,39,1445,753840,191.7,7.4,2014,0
2014,Ohio,39,1519,763947,198.8,5.8,2014,1
2015,Ohio,39,1539,773289,199.0,5.0,2014,1
2016,Ohio,39,1557,777623,200.2,5.0,2014,1
2017,Ohio,39,1613,780299,206.7,4.9,2014,1
2018,Ohio,39,1578,779388,202.5,4.5,2014,1
2019,Ohio,39,1601,776529,206.2,4.1,2014,1
1999,Oklahoma,40,620,149688,414.2,3.5,2021,0
2000,Oklahoma,40,635,152057,417.6,3.0,2021,0
2001,Oklahoma,40,565,155414,363.5,3.6,2021,0
2002,Oklahoma,40,679,164052,413.9,4.6,2021,0
2003,Oklahoma,40,651,170364,382.1,5.4,2021,0
2004,Oklahoma,40,650,176739,367.8,4.7,2021,0
2005,Oklahoma,40,604,183046,330.0,4.3,2021,0
2006,Oklahoma,40,645,190102,339.3,3.9,2021,0
2007,Oklahoma,40,585,196092,298.3,4.0,2021,0
2008,Oklahoma,40,548,201724,271.7,3.6,2021,0
2009,Oklahoma,40,548,208075,263.4,6.5,2021,0
2010,Oklahoma,40,615,213583,287.9,6.5,2021,0
2011,Oklahoma,40,604,221826,272.3,5.6,2021,0
2012,Oklahoma,40,619,223679,276.7,5.1,2021,0
2013,Oklahoma,40,638,226949,281.1,5.1,2021,0
2014,Oklahoma,40,667,229841,290.2,4.3,2021,0
2015,Oklahoma,40,719,233771,307.6,4.3,2021,0
2016,Oklahoma,40,620,235890,262.8,4.6,2021,0
2017,Oklahoma,40,653,237621,274.8,4.0,2021,0
2018,Oklahoma,40,552,238648,231.3,3.3,2021,0
2019,Oklahoma,40,503,238552,210.9,3.1,2021,0
1999,Oregon,41,357,145281,245.7,5.5,2014,0
2000,Oregon,41,353,149587,236.0,5.2,2014,0
2001,Oregon,41,319,156869,203.4,6.4,2014,0
2002,Oregon,41,352,169625,207.5,7.5,2014,0
2003,Oregon,41,397,180536,219.9,8.0,2014,0
2004,Oregon,41,313,191240,163.7,7.4,2014,0
2005,Oregon,41,337,202574,166.4,6.2,2014,0
2006,Oregon,41,340,214050,158.8,5.4,2014,0
2007,Oregon,41,351,224095,156.6,5.2,2014,0
2008,Oregon,41,348,232986,149.4,6.3,2014,0
2009,Oregon,41,364,241568,150.7,10.6,2014,0
2010,Oregon,41,305,248066,123.0,10.6,2014,0
2011,Oregon,41,323,257240,125.6,9.5,2014,0
2012,Oregon,41,346,258638,133.8,8.7,2014,0
2013,Oregon,41,328,259639,126.3,7.8,2014,0
2014,Oregon,41,320,260712,122.7,6.7,2014,1
2015,Oregon,41,335,262454,127.6,5.5,2014,1
2016,Oregon,41,334,263477,126.8,4.8,2014,1
2017,Oregon,41,341,263177,129.6,4.1,2014,1
2018,Oregon,41,290,261776,110.8,4.0,2014,1
2019,Oregon,41,296,259421,114.1,3.7,2014,1
1999,Pennsylvania,42,1633,532986,306.4,4.5,2015,0
2000,Pennsylvania,42,1573,538760,292.0,4.2,2015,0
2001,Pennsylvania,42,1482,550478,269.2,4.8,2015,0
2002,Pennsylvania,42,1527,584387,261.3,5.6,2015,0
2003,Pennsylvania,42,1536,610775,251.5,5.7,2015,0
2004,Pennsylvania,42,1471,636060,231.3,5.4,2015,0
2005,Pennsylvania,42,1516,662238,228.9,5.0,2015,0
2006,Pennsylvania,42,1532,688920,222.4,4.7,2015,0
2007,Pennsylvania,42,1579,714841,220.9,4.6,2015,0
2008,Pennsylvania,42,1469,735644,199.7,5.4,2015,0
2009,Pennsylvania,42,1451,763516,190.0,8.0,2015,0
2010,Pennsylvania,42,1412,788210,179.1,8.2,2015,0
2011,Pennsylvania,42,1472,823559,178.7,7.7,2015,0
2012,Pennsylvania,42,1442,830939,173.5,7.6,2015,0
2013,Pennsylvania,42,1440,846405,170.1,7.1,2015,0
2014,Pennsylvania,42,1422,859653,165.4,6.0,2015,0
2015,Pennsylvania,42,1446,871002,166.0,5.4,2015,1
2016,Pennsylvania,42,1539,876000,175.7,5.3,2015,1
2017,Pennsylvania,42,1576,878742,179.3,5.0,2015,1
2018,Pennsylvania,42,1596,877084,182.0,4.4,2015,1
2019,Pennsylvania,42,1559,874819,178.2,4.3,2015,1
1999,Rhode Island,44,120,41269,290.8,4.2,2014,0
2000,Rhode Island,44,112,42322,264.6,4.0,2014,0
2001,Rhode Island,44,126,44023,286.2,4.5,2014,0
2002,Rhode Island,44,150,47327,316.9,5.1,2014,0
2003,Rhode Island,44,125,49805,251.0,5.5,2014,0
2004,Rhode Island,44,123,52136,235.9,5.3,2014,0
2005,Rhode Island,44,152,54230,280.3,5.1,2014,0
2006,Rhode Island,44,107,56292,190.1,5.2,2014,0
2007,Rhode Island,44,133,57911,229.7,5.1,2014,0
2008,Rhode Island,44,130,59045,220.2,7.6,2014,0
2009,Rhode Island,44,125,61119,204.5,11.2,2014,0
2010,Rhode Island,44,98,62877,155.9,11.6,2014,0
2011,Rhode Island,44,120,65300,183.8,11.1,2014,0
2012,Rhode Island,44,115,65868,174.6,10.3,2014,0
2013,Rhode Island,44,114,67176,169.7,9.5,2014,0
2014,Rhode Island,44,127,68059,186.6,7.8,2014,1
2015,Rhode Island,44,119,69119,172.2,6.0,2014,1
2016,Rhode Island,44,85,70154,121.2,5.2,2014,1
2017,Rhode Island,44,90,71099,126.6,4.5,2014,1
2018,Rhode Island,44,124,71173,174.2,4.0,2014,1
2019,Rhode Island,44,97,71376,135.9,3.5,2014,1
1999,South Carolina,45,649,172669,375.9,4.2,3000,0
2000,South Carolina,45,616,177705,346.6,3.7,3000,0
2001,South Carolina,45,575,185016,310.8,5.2,3000,0
2002,South Carolina,45,583,197815,294.7,6.1,3000,0
2003,South Carolina,45,611,208756,292.7,6.7,3000,0
2004,South Carolina,45,622,219565,283.3,6.9,3000,0
2005,South Carolina,45,635,230602,275.4,6.8,3000,0
2006,South Carolina,45,621,242011,256.6,6.3,3000,0
2007,South Carolina,45,603,252549,238.8,5.6,3000,0
2008,South Carolina,45,588,261004,225.3,6.9,3000,0
2009,South Carolina,45,696,269008,258.7,11.0,3000,0
2010,South Carolina,45,693,275444,251.6,11.1,3000,0
2011,South Carolina,45,660,285552,231.1,10.3,3000,0
2012,South Carolina,45,623,286831,217.2,9.0,3000,0
2013,South Carolina,45,668,290866,229.7,7.4,3000,0
2014,South Carolina,45,611,295792,206.6,6.3,3000,0
2015,South Carolina,45,697,301735,231.0,5.9,3000,0
2016,South Carolina,45,651,308195,211.2,4.9,3000,0
2017,South Carolina,45,717,312466,229.5,4.2,3000,0
2018,South Carolina,45,630,317996,198.1,3.4,3000,0
2019,South Carolina,45,613,323337,189.6,2.8,3000,0
1999,South Dakota,46,81,30162,268.5,2.7,2023,0
2000,South Dakota,46,77,30611,251.5,2.5,2023,0
2001,South Dakota,46,90,31543,285.3,3.0,2023,0
2002,South Dakota,46,74,33372,221.7,3.2,2023,0
2003,South Dakota,46,92,35215,261.3,3.5,2023,0
2004,South Dakota,46,77,37390,205.9,3.6,2023,0
2005,South Dakota,46,88,39599,222.2,3.5,2023,0
2006,South Dakota,46,106,41668,254.4,3.0,2023,0
2007,South Dakota,46,84,43995,190.9,2.8,2023,0
2008,South Dakota,46,96,46006,208.7,3.1,2023,0
2009,South Dakota,46,103,47949,214.8,4.6,2023,0
2010,South Dakota,46,117,49545,236.1,4.9,2023,0
2011,South Dakota,46,96,52294,183.6,4.6,2023,0
2012,South Dakota,46,100,53695,186.2,4.0,2023,0
2013,South Dakota,46,101,55175,183.1,3.7,2023,0
2014,South Dakota,46,124,56094,221.1,3.4,2023,0
2015,South Dakota,46,105,57153,183.7,3.0,2023,0
2016,South Dakota,46,107,57823,185.0,3.0,2023,0
2017,South Dakota,46,104,57999,179.3,3.0,2023,0
2018,South Dakota,46,113,58278,193.9,2.8,2023,0
2019,South Dakota,46,126,58485,215.4,2.7,2023,0
1999,Tennessee,47,962,250764,383.6,4.0,3000,0
2000,Tennessee,47,985,255801,385.1,3.8,3000,0
2001,Tennessee,47,958,263636,363.4,4.6,3000,0
2002,Tennessee,47,985,281358,350.1,5.2,3000,0
2003,Tennessee,47,1030,295322,348.8,5.5,3000,0
2004,Tennessee,47,943,308185,306.0,5.3,3000,0
2005,Tennessee,47,946,321581,294.2,5.5,3000,0
2006,Tennessee,47,1072,335870,319.2,5.2,3000,0
2007,Tennessee,47,1007,347067,290.1,4.6,3000,0
2008,Tennessee,47,994,356522,278.8,6.5,3000,0
2009,Tennessee,47,1038,367445,282.5,10.4,3000,0
2010,Tennessee,47,1045,376645,277.4,9.8,3000,0
2011,Tennessee,47,1064,390788,272.3,9.0,3000,0
2012,Tennessee,47,1075,392459,273.9,7.9,3000,0
2013,Tennessee,47,1101,396342,277.8,7.7,3000,0
2014,Tennessee,47,1132,400817,282.4,6.5,3000,0
2015,Tennessee,47,1160,406835,285.1,5.5,3000,0
2016,Tennessee,47,1161,412145,281.7,4.7,3000,0
2017,Tennessee,47,1147,417349,274.8,3.7,3000,0
2018,Tennessee,47,1155,422206,273.6,3.5,3000,0
2019,Tennessee,47,1255,426239,294.4,3.3,3000,0
1999,Texas,48,2380,750046,317.3,4.7,3000,0
2000,Texas,48,2442,770800,316.8,4.4,3000,0
2001,Texas,48,2398,805088,297.9,5.0,3000,0
2002,Texas,48,2381,861684,276.3,6.4,3000,0
2003,Texas,48,2369,909768,260.4,6.8,3000,0
2004,Texas,48,2417,958360,252.2,6.0,3000,0
2005,Texas,48,2422,1008906,240.1,5.5,3000,0
2006,Texas,48,2458,1063550,231.1,5.0,3000,0
2007,Texas,48,2556,1113324,229.6,4.4,3000,0
2008,Texas,48,2538,1160753,218.7,4.9,3000,0
2009,Texas,48,2601,1212892,214.4,7.6,3000,0
2010,Texas,48,2622,1257095,208.6,8.3,3000,0
2011,Texas,48,2648,1323218,200.1,8.0,3000,0
2012,Texas,48,2708,1354552,199.9,6.7,3000,0
2013,Texas,48,2744,1391635,197.2,6.3,3000,0
2014,Texas,48,2778,1434534,193.7,5.2,3000,0
2015,Texas,48,2911,1478988,196.8,4.5,3000,0
2016,Texas,48,2949,1510506,195.2,4.6,3000,0
2017,Texas,48,3093,1544989,200.2,4.4,3000,0
2018,Texas,48,3184,1570024,202.8,3.9,3000,0
2019,Texas,48,2931,1591565,184.2,3.5,3000,0
1999,Utah,49,105,68062,154.3,3.5,2020,0
2000,Utah,49,126,69520,181.2,3.3,2020,0
2001,Utah,49,136,72891,186.6,4.4,2020,0
2002,Utah,49,97,77902,124.5,5.7,2020,0
2003,Utah,49,126,82436,152.8,5.6,2020,0
2004,Utah,49,135,87135,154.9,5.0,2020,0
2005,Utah,49,128,92803,137.9,4.0,2020,0
2006,Utah,49,136,98654,137.9,2.8,2020,0
2007,Utah,49,153,103708,147.5,2.6,2020,0
2008,Utah,49,142,108595,130.8,3.3,2020,0
2009,Utah,49,132,113730,116.1,7.6,2020,0
2010,Utah,49,128,118253,108.2,8.3,2020,0
2011,Utah,49,162,125006,129.6,7.2,2020,0
2012,Utah,49,150,128806,116.5,4.8,2020,0
2013,Utah,49,154,132676,116.1,4.2,2020,0
2014,Utah,49,139,135973,102.2,3.6,2020,0
2015,Utah,49,150,139660,107.4,3.5,2020,0
2016,Utah,49,154,142971,107.7,3.3,2020,0
2017,Utah,49,197,145379,135.5,3.1,2020,0
2018,Utah,49,123,147287,83.5,2.9,2020,0
2019,Utah,49,167,148584,112.4,2.5,2020,0
1999,Vermont,50,67,27251,245.9,3.1,2014,0
2000,Vermont,50,57,28183,202.2,2.8,2014,0
2001,Vermont,50,55,29333,187.5,3.2,2014,0
2002,Vermont,50,61,31584,193.1,3.9,2014,0
2003,Vermont,50,73,33566,217.5,4.3,2014,0
2004,Vermont,50,56,35574,157.4,3.6,2014,0
2005,Vermont,50,58,37402,155.1,3.5,2014,0
2006,Vermont,50,68,39109,173.9,3.7,2014,0
2007,Vermont,50,66,40656,162.3,3.9,2014,0
2008,Vermont,50,72,41833,172.1,4.5,2014,0
2009,Vermont,50,62,43258,143.3,6.5,2014,0
2010,Vermont,50,70,44514,157.3,6.2,2014,0
2011,Vermont,50,92,46269,198.8,5.4,2014,0
2012,Vermont,50,60,46539,128.9,4.8,2014,0
2013,Vermont,50,66,46730,141.2,4.4,2014,0
2014,Vermont,50,81,47122,171.9,3.9,2014,1
2015,Vermont,50,91,47360,192.1,3.5,2014,1
2016,Vermont,50,94,47409,198.3,3.1,2014,1
2017,Vermont,50,87,47235,184.2,2.9,2014,1
2018,Vermont,50,94,46990,200.0,2.5,2014,1
2019,Vermont,50,88,46408,189.6,2.1,2014,1
1999,Virginia,51,787,297502,264.5,2.7,2019,0
2000,Virginia,51,816,305857,266.8,2.3,2019,0
2001,Virginia,51,801,318881,251.2,3.2,2019,0
2002,Virginia,51,784,342072,229.2,4.2,2019,0
2003,Virginia,51,798,360265,221.5,4.1,2019,0
2004,Virginia,51,784,378392,207.2,3.7,2019,0
2005,Virginia,51,801,394007,203.3,3.5,2019,0
2006,Virginia,51,824,408287,201.8,3.1,2019,0
2007,Virginia,51,794,421361,188.4,3.1,2019,0
2008,Virginia,51,798,431700,184.9,4.1,2019,0
2009,Virginia,51,771,446545,172.7,6.8,2019,0
2010,Virginia,51,787,458904,171.5,6.8,2019,0
2011,Virginia,51,762,477520,159.6,6.3,2019,0
2012,Virginia,51,764,482681,158.3,5.8,2019,0
2013,Virginia,51,756,490825,154.0,5.5,2019,0
2014,Virginia,51,768,499146,153.9,5.1,2019,0
2015,Virginia,51,813,509216,159.7,4.4,2019,0
2016,Virginia,51,805,519437,155.0,4.0,2019,0
2017,Virginia,51,786,527784,148.9,3.6,2019,0
2018,Virginia,51,796,532585,149.5,3.0,2019,0
2019,Virginia,51,783,536633,145.9,2.8,2019,1
1999,Washington,53,568,239401,237.3,4.8,2014,0
2000,Washington,53,576,246520,233.7,5.1,2014,0
2001,Washington,53,588,258680,227.3,6.1,2014,0
2002,Washington,53,626,280030,223.5,7.2,2014,0
2003,Washington,53,637,296536,214.8,7.3,2014,0
2004,Washington,53,603,314732,191.6,6.3,2014,0
2005,Washington,53,655,333128,196.6,5.6,2014,0
2006,Washington,53,545,350672,155.4,5.0,2014,0
2007,Washington,53,598,366699,163.1,4.6,2014,0
2008,Washington,53,670,380160,176.2,5.2,2014,0
2009,Washington,53,580,395162,146.8,9.1,2014,0
2010,Washington,53,676,407699,165.8,10.0,2014,0
2011,Washington,53,611,425689,143.5,9.4,2014,0
2012,Washington,53,605,431400,140.2,8.5,2014,0
2013,Washington,53,665,437781,151.9,6.7,2014,0
2014,Washington,53,671,444993,150.8,5.9,2014,1
2015,Washington,53,589,453189,130.0,5.5,2014,1
2016,Washington,53,607,461640,131.5,5.2,2014,1
2017,Washington,53,662,467346,141.7,4.7,2014,1
2018,Washington,53,704,469403,150.0,4.4,2014,1
2019,Washington,53,659,469642,140.3,4.2,2014,1
1999,West Virginia,54,322,88635,363.3,6.5,2014,0
2000,West Virginia,54,340,89789,378.7,5.6,2014,0
2001,West Virginia,54,304,91840,331.0,5.3,2014,0
2002,West Virginia,54,288,97599,295.1,6.1,2014,0
2003,West Virginia,54,326,102027,319.5,6.1,2014,0
2004,West Virginia,54,246,106765,230.4,5.4,2014,0
2005,West Virginia,54,318,111564,285.0,5.1,2014,0
2006,West Virginia,54,283,116149,243.7,4.8,2014,0
2007,West Virginia,54,285,120119,237.3,4.5,2014,0
2008,West Virginia,54,286,123431,231.7,4.5,2014,0
2009,West Virginia,54,283,127413,222.1,8.0,2014,0
2010,West Virginia,54,284,130627,217.4,8.4,2014,0
2011,West Virginia,54,295,134218,219.8,7.7,2014,0
2012,West Virginia,54,276,133420,206.9,7.2,2014,0
2013,West Virginia,54,254,133213,190.7,6.7,2014,0
2014,West Virginia,54,297,132237,224.6,6.5,2014,1
2015,West Virginia,54,256,131246,195.1,6.5,2014,1
2016,West Virginia,54,313,129545,241.6,6.1,2014,1
2017,West Virginia,54,284,127473,222.8,5.2,2014,1
2018,West Virginia,54,347,125636,276.2,5.1,2014,1
2019,West Virginia,54,286,123655,231.3,4.9,2014,1
1999,Wisconsin,55,572,220229,259.7,3.1,3000,0
2000,Wisconsin,55,537,223943,239.8,3.4,3000,0
2001,Wisconsin,55,571,231407,246.8,4.4,3000,0
2002,Wisconsin,55,563,245992,228.9,5.3,3000,0
2003,Wisconsin,55,558,257751,216.5,5.6,3000,0
2004,Wisconsin,55,527,270793,194.6,5.0,3000,0
2005,Wisconsin,55,547,284340,192.4,4.7,3000,0
2006,Wisconsin,55,529,298339,177.3,4.7,3000,0
2007,Wisconsin,55,592,312182,189.6,4.8,3000,0
2008,Wisconsin,55,588,323790,181.6,4.9,3000,0
2009,Wisconsin,55,591,337476,175.1,8.8,3000,0
2010,Wisconsin,55,614,348708,176.1,8.4,3000,0
2011,Wisconsin,55,619,365154,169.5,7.5,3000,0
2012,Wisconsin,55,670,371285,180.5,6.9,3000,0
2013,Wisconsin,55,658,380812,172.8,6.7,3000,0
2014,Wisconsin,55,639,387746,164.8,5.3,3000,0
2015,Wisconsin,55,626,394703,158.6,4.4,3000,0
2016,Wisconsin,55,650,399430,162.7,3.9,3000,0
2017,Wisconsin,55,652,403332,161.7,3.3,3000,0
2018,Wisconsin,55,637,405508,157.1,3.0,3000,0
2019,Wisconsin,55,647,406441,159.2,3.2,3000,0
1999,Wyoming,56,54,21868,246.9,4.7,3000,0
2000,Wyoming,56,58,22582,256.8,3.8,3000,0
2001,Wyoming,56,58,23494,246.9,3.9,3000,0
2002,Wyoming,56,56,25302,221.3,4.1,3000,0
2003,Wyoming,56,69,26913,256.4,4.3,3000,0
2004,Wyoming,56,48,28358,169.3,3.8,3000,0
2005,Wyoming,56,55,29995,183.4,3.6,3000,0
2006,Wyoming,56,49,31672,154.7,3.1,3000,0
