year,state,state_code,deaths,population,crude_rate,unemployment_rate,poverty_rate,cigarette_tax_per_pack,expansion_year,treat_post
1999,Alabama,01,2780.0,1295255.0,214.62955170989494,4.7,15.3,0.165,3000,0
2000,Alabama,01,2690.0,1288527.0,208.76551286857008,4.7,14.6,0.165,3000,0
2001,Alabama,01,2696.0,1266952.0,212.79417057631227,5.1,15.7,0.165,3000,0
2002,Alabama,01,2718.0,1249808.0,217.4734039148413,5.9,15.4,0.165,3000,0
2003,Alabama,01,2767.0,1238460.0,223.42263779209665,5.9,15.3,0.165,3000,0
2004,Alabama,01,2754.0,1231571.0,223.61682761286193,5.6,16.1,0.425,3000,0
2005,Alabama,01,2735.0,1228586.0,222.61363876847042,4.5,16.9,0.425,3000,0
2006,Alabama,01,2928.0,1233767.0,237.32195787373144,4.0,16.6,0.425,3000,0
2007,Alabama,01,2732.0,1232608.0,221.64386406708377,4.1,16.6,0.425,3000,0
2008,Alabama,01,2662.0,1231410.0,216.1749539146182,5.9,15.9,0.425,3000,0
2009,Alabama,01,2688.0,1232200.0,218.14640480441486,9.7,17.5,0.425,3000,0
2010,Alabama,01,2630.0,1228423.0,214.09563318172974,10.4,18.9,0.425,3000,0
2011,Alabama,01,2616.0,1222759.0,213.94240402237892,9.6,19.1,0.425,3000,0
2012,Alabama,01,2717.0,1224424.0,221.90025677379734,8.2,19.0,0.425,3000,0
2013,Alabama,01,2662.0,1228123.0,216.75353364443137,7.4,18.9,0.425,3000,0
2014,Alabama,01,2739.0,1231977.0,222.32557913012988,6.8,19.2,0.425,3000,0
2015,Alabama,01,2749.0,1235222.0,222.55108798256506,6.1,18.5,0.425,3000,0
2016,Alabama,01,3003.0,1233200.0,243.51281219591306,5.8,17.2,0.675,3000,0
2017,Alabama,01,2944.0,1232097.0,238.9422261396627,4.5,16.9,0.675,3000,0
2018,Alabama,01,2968.0,1235842.0,240.16014992207744,3.9,16.8,0.675,3000,0
2019,Alabama,01,2952.0,1240535.0,237.96184710628884,3.2,15.6,0.675,3000,0
1999,Alaska,02,366.0,206897.0,176.8996167174971,6.4,8.8,1.0,2015,0
2000,Alaska,02,357.0,203522.0,175.41101207731842,6.3,8.5,1.0,2015,0
2001,Alaska,02,372.0,198158.0,187.72898394210682,6.3,8.7,1.0,2015,0
2002,Alaska,02,400.0,194428.0,205.7316847367663,7.2,9.3,1.0,2015,0
2003,Alaska,02,324.0,190773.0,169.8353540595367,7.7,9.8,1.0,2015,0
2004,Alaska,02,348.0,189864.0,183.2890911389205,7.4,10.0,1.0,2015,0
2005,Alaska,02,345.0,188753.0,182.77855186407632,6.9,10.8,1.6,2015,0
2006,Alaska,02,345.0,188470.0,183.0530057834138,6.6,10.9,1.6,2015,0
2007,Alaska,02,341.0,188612.0,180.7944351366827,6.2,9.8,1.8,2015,0
2008,Alaska,02,347.0,189673.0,182.94643939833293,6.5,9.2,2.0,2015,0
2009,Alaska,02,337.0,191023.0,176.4185464577564,7.8,9.1,2.0,2015,0
2010,Alaska,02,326.0,196099.0,166.2425611553348,8.0,11.0,2.0,2015,0
2011,Alaska,02,347.0,198832.0,174.51919208175747,7.6,10.8,2.0,2015,0
2012,Alaska,02,366.0,203103.0,180.20413287839176,7.1,10.8,2.0,2015,0
2013,Alaska,02,360.0,205282.0,175.36851745403882,6.9,10.1,2.0,2015,0
2014,Alaska,02,351.0,208376.0,168.44550236111644,6.7,11.4,2.0,2015,0
2015,Alaska,02,376.0,210642.0,178.5019131986973,6.3,10.4,2.0,2015,1
2016,Alaska,02,457.0,212598.0,214.95968917863763,6.6,9.9,2.0,2015,1
2017,Alaska,02,438.0,213427.0,205.22239454239624,6.6,11.0,2.0,2015,1
2018,Alaska,02,399.0,213515.0,186.8721167131115,6.1,11.1,2.0,2015,1
2019,Alaska,02,469.0,213353.0,219.8234850224745,5.6,10.2,2.0,2015,1
1999,Arizona,04,2539.0,1499974.0,169.26960067307832,4.5,12.8,0.58,2014,0
2000,Arizona,04,2588.0,1511469.0,171.22415345600868,4.0,12.5,0.58,2014,0
2001,Arizona,04,2681.0,1526458.0,175.63535976751407,4.7,13.2,0.58,2014,0
2002,Arizona,04,2704.0,1543384.0,175.19943189770012,6.2,13.6,0.58,2014,0
2003,Arizona,04,2716.0,1554533.0,174.71485005464663,5.8,13.9,1.18,2014,0
2004,Arizona,04,2604.0,1580090.0,164.8007391984001,5.0,14.6,1.18,2014,0
2005,Arizona,04,2707.0,1620018.0,167.09690879977876,4.6,14.4,1.18,2014,0
