year,state,state_code,deaths,population,crude_rate,unemployment_rate,poverty_rate,cigarette_tax_per_pack,expansion_year,treat_post
1999,Alabama,01,1350.0,996193.0,135.51590906581356,4.7,15.3,0.165,3000,0
2000,Alabama,01,1364.0,1015741.0,134.28620091145282,4.7,14.6,0.165,3000,0
2001,Alabama,01,1348.0,1048479.0,128.56719114069048,5.1,15.7,0.165,3000,0
2002,Alabama,01,1336.0,1077429.0,123.99888995005703,5.9,15.4,0.165,3000,0
2003,Alabama,01,1260.0,1105027.0,114.02436320560494,5.9,15.3,0.165,3000,0
2004,Alabama,01,1237.0,1133736.0,109.1082932887374,5.6,16.1,0.425,3000,0
2005,Alabama,01,1263.0,1163718.0,108.53144834057736,4.5,16.9,0.425,3000,0
2006,Alabama,01,1281.0,1196222.0,107.08714603142226,4.0,16.6,0.425,3000,0
2007,Alabama,01,1234.0,1222870.0,100.91015398202589,4.1,16.6,0.425,3000,0
2008,Alabama,01,1263.0,1244494.0,101.48703007005257,5.9,15.9,0.425,3000,0
2009,Alabama,01,1350.0,1265621.0,106.6670037870737,9.7,17.5,0.425,3000,0
2010,Alabama,01,1259.0,1281887.0,98.21458521694971,10.4,18.9,0.425,3000,0
2011,Alabama,01,1361.0,1295372.0,105.06634387650806,9.6,19.1,0.425,3000,0
2012,Alabama,01,1242.0,1288872.0,96.36333165744931,8.2,19.0,0.425,3000,0
2013,Alabama,01,1236.0,1287234.0,96.01983788495332,7.4,18.9,0.425,3000,0
2014,Alabama,01,1213.0,1286061.0,94.31900975148146,6.8,19.2,0.425,3000,0
2015,Alabama,01,1238.0,1287439.0,96.1598957309822,6.1,18.5,0.425,3000,0
2016,Alabama,01,1195.0,1289110.0,92.69961446269131,5.8,17.2,0.675,3000,0
2017,Alabama,01,1220.0,1287177.0,94.78105963670886,4.5,16.9,0.675,3000,0
2018,Alabama,01,1216.0,1282637.0,94.80468753045484,3.9,16.8,0.675,3000,0
2019,Alabama,01,1096.0,1274283.0,86.00915181321574,3.2,15.6,0.675,3000,0
1999,Alaska,02,109.0,135461.0,80.46596437350972,6.4,8.8,1.0,2015,0
2000,Alaska,02,121.0,139702.0,86.61293324361856,6.3,8.5,1.0,2015,0
2001,Alaska,02,109.0,147596.0,73.85023984389821,6.3,8.7,1.0,2015,0
2002,Alaska,02,142.0,155272.0,91.45241898088516,7.2,9.3,1.0,2015,0
2003,Alaska,02,110.0,162136.0,67.84427887699216,7.7,9.8,1.0,2015,0
2004,Alaska,02,130.0,169057.0,76.89714120089674,7.4,10.0,1.0,2015,0
2005,Alaska,02,128.0,175353.0,72.995614560344,6.9,10.8,1.6,2015,0
2006,Alaska,02,100.0,181283.0,55.162370437382435,6.6,10.9,1.6,2015,0
2007,Alaska,02,103.0,185355.0,55.569043187397156,6.2,9.8,1.8,2015,0
2008,Alaska,02,107.0,189130.0,56.57484270078782,6.5,9.2,2.0,2015,0
2009,Alaska,02,161.0,195393.0,82.39803882431818,7.8,9.1,2.0,2015,0
2010,Alaska,02,138.0,196935.0,70.07388224541093,8.0,11.0,2.0,2015,0
2011,Alaska,02,175.0,200496.0,87.28353682866491,7.6,10.8,2.0,2015,0
2012,Alaska,02,159.0,199082.0,79.866587637255,7.1,10.8,2.0,2015,0
2013,Alaska,02,136.0,193302.0,70.35623014764461,6.9,10.1,2.0,2015,0
2014,Alaska,02,170.0,190633.0,89.17658537608914,6.7,11.4,2.0,2015,0
2015,Alaska,02,163.0,188064.0,86.67262208609836,6.3,10.4,2.0,2015,1
2016,Alaska,02,166.0,189489.0,87.60402978537013,6.6,9.9,2.0,2015,1
2017,Alaska,02,144.0,186651.0,77.14933217609335,6.6,11.0,2.0,2015,1
2018,Alaska,02,145.0,182719.0,79.35682660259742,6.1,11.1,2.0,2015,1
2019,Alaska,02,129.0,178469.0,72.28146064582644,5.6,10.2,2.0,2015,1
1999,Arizona,04,1214.0,1032514.0,117.57709822820803,4.5,12.8,0.58,2014,0
2000,Arizona,04,1180.0,1070276.0,110.25193501489335,4.0,12.5,0.58,2014,0
2001,Arizona,04,1180.0,1128753.0,104.54014297193453,4.7,13.2,0.58,2014,0
2002,Arizona,04,1268.0,1179404.0,107.5119297543505,6.2,13.6,0.58,2014,0
2003,Arizona,04,1221.0,1230617.0,99.21852209095113,5.8,13.9,1.18,2014,0
2004,Arizona,04,1253.0,1286040.0,97.43087306771173,5.0,14.6,1.18,2014,0
2005,Arizona,04,1360.0,1353018.0,100.51603156794663,4.6,14.4,1.18,2014,0
2006,Arizona,04,1338.0,1417801.0,94.37149501234659,4.3,14.2,1.18,2014,0
2007,Arizona,04,1260.0,1468199.0,85.81942911008657,3.7,14.1,2.0,2014,0
2008,Arizona,04,1322.0,1507727.0,87.68165589659135,5.8,14.7,2.0,2014,0
2009,Arizona,04,1290.0,1540845.0,83.72029633090933,9.7,16.5,2.0,2014,0
2010,Arizona,04,1274.0,1568774.0,81.20991296388135,10.4,17.6,2.0,2014,0
2011,Arizona,04,1372.0,1598632.0,85.82337898903563,9.5,19.0,2.0,2014,0
2012,Arizona,04,1314.0,1603872.0,81.9267372957443,8.4,18.7,2.0,2014,0
2013,Arizona,04,1246.0,1613067.0,77.24415662833596,7.8,18.6,2.0,2014,0
2014,Arizona,04,1204.0,1633417.0,73.71050993102189,6.8,18.2,2.0,2014,1
2015,Arizona,04,1325.0,1657469.0,79.9411633038084,6.1,17.4,2.0,2014,1
2016,Arizona,04,1389.0,1678039.0,82.77519175656823,5.5,16.4,2.0,2014,1
2017,Arizona,04,1302.0,1694017.0,76.85873282263401,5.0,14.9,2.0,2014,1
2018,Arizona,04,1184.0,1717067.0,68.95479326083374,4.8,14.1,2.0,2014,1
2019,Arizona,04,1180.0,1732884.0,68.09457528605492,4.8,13.5,2.0,2014,1
